
Code 	Short Name                	Long Name                                         	North Carolina Totals	  Alamance	 Alexander	 Alleghany	     Anson	      Ashe	Atlantic Ocean	     Avery	  Beaufort	    Bertie	    Bladen	 Brunswick	  Buncombe	     Burke	  Cabarrus	  Caldwell	    Camden	  Carteret	   Caswell	   Catawba	   Chatham	  Cherokee	    Chowan	      Clay	 Cleveland	  Columbus	    Craven	Cumberland	 Currituck	      Dare	  Davidson	     Davie	    Duplin	    Durham	 Edgecombe	   Forsyth	  Franklin	    Gaston	     Gates	    Graham	 Granville	    Greene	  Guilford	   Halifax	   Harnett	   Haywood	 Henderson	  Hertford	      Hoke	      Hyde	   Iredell	   Jackson	  Johnston	     Jones	       Lee	    Lenoir	   Lincoln	     Macon	   Madison	    Martin	  Mcdowell	Mecklenburg	  Mitchell	Montgomery	     Moore	      Nash	New Hanover	Northampton	    Onslow	    Orange	   Pamlico	Pasquotank	    Pender	Perquimans	    Person	      Pitt	      Polk	  Randolph	  Richmond	   Robeson	Rockingham	     Rowan	Rutherford	   Sampson	  Scotland	    Stanly	    Stokes	     Surry	     Swain	Transylvania	   Tyrrell	     Union	     Vance	      Wake	    Warren	Washington	   Watauga	     Wayne	    Wilkes	    Wilson	    Yadkin	    Yancey
01030	CHROMIUM CR,DISS  UG/L    	CHROMIUM, DISSOLVED (UG/L AS CR)                  	                   68	         0	         0	         1	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	        14	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         34	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         8	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
01032	CHROMIUM HEX-VAL  UG/L    	CHROMIUM, HEXAVALENT (UG/L AS CR)                 	                    1	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	                 2047	         4	         0	         0	         0	         0	             0	         1	         0	         0	        26	       203	        43	         0	         7	        13	         0	         2	         0	         0	       200	         1	         0	         0	         0	        36	         4	         1	         0	         0	         0	        14	        54	        24	         0	        28	         0	        53	         0	         0	        12	         0	        13	         0	         0	        24	         0	         1	         0	       101	         6	        20	        94	         0	         0	        46	         0	         0	         0	         0	         9	        338	         3	         0	         0	         0	        173	         35	         0	        25	         0	         0	        27	         0	         2	         2	         8	         0	         7	         0	         4	         7	         1	         0	         0	        18	         0	        14	         5	           1	         3	         9	         0	       306	         8	         1	         1	         2	         4	         0	         0	         3
01037	COBALT   CO,TOTAL UG/L    	COBALT, TOTAL (UG/L AS CO)                        	                  151	         4	         0	         0	         0	         0	             0	         0	         0	         0	         0	         3	        13	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         5	         0	         0	         0	         1	         4	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         12	         0	         0	         0	         0	         84	          0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	        10	         0	         0	         1	         0	         0	         0	         0	         0
01038	CO MUD   DRY WGT  MG/KG-CO	COBALT IN BOTTOM DEPOSITS (MG/KG AS CO DRY WGT)   	                   51	         1	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         5	         1	         0	         0	         0	         1	         2	         0	         0	         1	         0	         1	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         2	         0	         2	         0	         0	         3	         0	         0	         2	         0	         0	         0	         0	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         10	         0	         0	         0	         0	          1	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         2	         1	         1	         0	         0	         0	         0	         0	         0	           0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0
01040	COPPER   CU,DISS  UG/L    	COPPER, DISSOLVED (UG/L AS CU)                    	                  468	         0	         0	         1	         0	         0	             0	         0	         0	         4	         0	         0	         0	         0	        18	         0	         0	         0	         0	         0	         7	         4	         0	       252	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	         0	        97	         34	         0	         0	         0	         0	          0	          0	         0	         2	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	        33	           0	         0	         0	         0	         1	         0	         2	         0	         0	         0	         0	         0	         0
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	                 3218	        58	         0	         0	         0	         0	             0	        28	         0	         0	        26	       203	        79	         0	         7	        12	         0	         2	         0	         0	       443	        69	         0	       133	         0	        36	         3	         1	         0	         0	         0	        14	        54	       128	         0	        28	         0	        46	         0	        26	        24	         0	        14	         0	         0	        29	         0	         3	         0	       100	         6	        42	        94	         0	         0	        46	         0	        33	         0	         0	       237	        333	        20	         0	         0	         0	        167	         38	         0	        50	         0	         0	        27	         0	         2	         0	         8	         0	         7	         0	         4	         7	         0	         0	         0	        13	         0	        14	        73	           2	         3	         9	         0	       340	         8	         1	        33	         2	         5	         0	         0	        28
01043	COPPER   SEDMG/KG DRY WGT 	COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)   	                  118	         1	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	         1	         2	         0	         0	         4	         0	         5	         0	         0	         0	         0	         0	         0	         2	         0	         0	         5	         1	         0	         0	         4	         0	         5	         0	         0	         5	         0	         0	         4	         0	         0	         0	         9	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         22	         0	         0	         0	         0	          1	          4	         6	         0	         0	         0	         7	         0	         0	         0	         0	         1	         0	         0	         3	         1	         1	         0	         0	         0	         0	         0	         4	           0	         0	         2	         0	         1	         0	         0	         1	         0	         1	         2	         0	         0
01045	IRON     FE,TOT   UG/L    	IRON, TOTAL (UG/L AS FE)                          	                 4065	         0	         0	         0	         0	         0	             0	        28	         0	         0	        26	       195	       134	         0	         7	         0	         0	         0	         0	         0	       257	       159	         0	       185	         0	        36	         0	         0	         0	         0	         0	        14	        54	        36	         0	        14	         0	         0	         0	       154	        24	         0	         6	         0	         0	       171	        28	        91	         0	         0	         0	       307	        94	       173	         0	        46	         0	        77	        22	         0	       235	        285	        26	         0	         0	         0	         78	        107	         0	        24	         0	         0	        27	         0	         0	         0	         8	         0	         7	         0	         0	         7	         0	         0	         0	        14	         0	        14	       264	         238	         0	         7	         0	       318	         0	         0	        33	         2	         0	         0	         0	        33
01046	IRON     FE,DISS  UG/L    	IRON, DISSOLVED (UG/L AS FE)                      	                 1956	        54	         0	         0	         0	         0	             0	        20	         0	        15	         0	         0	       123	         0	        27	         0	         0	         0	         0	         0	       180	        74	         0	       549	         0	         2	         0	         0	         0	         8	         0	         0	         0	        80	         0	         0	         0	         0	         3	        31	         0	         0	         0	         0	         0	        65	         0	         4	         0	         0	        10	       192	         0	         0	         0	         1	         0	        63	         0	         0	        97	         63	        27	         0	         0	         0	          0	          0	         0	        27	         0	        42	         0	        16	         0	         5	         0	         0	         0	         0	         0	         6	         0	         0	         0	         0	         0	         0	        99	           0	         9	         0	         0	         0	         0	        12	        19	         0	         0	         0	         0	        33
01047	FERROUS  IRON     UG/L    	IRON, FERROUS (UG/L AS FE)                        	                  518	         0	         0	         0	         0	         0	             0	        20	         0	         0	         0	         0	         6	         0	         0	         0	         0	         0	         0	         0	         1	        16	         0	        15	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         8	         0	         0	         0	         0	         0	       104	        16	         0	         0	         0	         0	       117	         0	         0	         0	         0	         0	        61	         8	         0	         0	          0	        19	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        65	          17	         0	         0	         0	         0	         0	         0	        21	         0	         0	         0	         0	        24
01048	FE-DISS  IC&OUS   UG/L    	IRON, FERRIC & FERROUS-DISS (UG/L)                	                   62	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          62	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
01049	LEAD     PB,DISS  UG/L    	LEAD, DISSOLVED (UG/L AS PB)                      	                  134	         0	         0	         1	         0	         0	             0	         0	         0	         5	         0	         0	         0	         0	        18	         0	         0	         0	         0	         0	         1	         0	         0	        23	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         29	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	        33	           0	         0	         0	         0	         4	         0	         2	         0	         0	         0	         0	         0	         0
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	                 2665	        57	         0	         0	         0	         0	             0	         0	         0	         0	        26	       203	        64	         0	         7	         9	         0	         2	         0	         0	       443	        18	         0	        28	         0	        36	         1	         1	         0	         0	         0	        14	        54	       125	         0	        28	         0	        44	         0	        26	        24	         0	        12	         0	         0	        24	         0	         1	         0	       128	         6	        34	        94	         0	         0	        46	         0	         0	         0	         0	       100	        288	         8	         0	         0	         0	        165	         36	         0	        52	         0	         0	        27	         0	         2	         0	         8	         0	         7	         0	         4	         7	         0	         0	         0	        13	         0	        14	         5	           1	         3	         9	         0	       341	         7	         1	         1	         2	         4	         0	         0	         5
01052	LEAD     SEDMG/KG DRY WGT 	LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)     	                  142	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	        14	         2	         0	         0	         4	         0	         5	         0	         0	         0	         0	         0	         0	         2	         0	         0	         5	         1	         0	         0	         4	         0	         5	         0	         0	         5	         0	         0	         4	         0	         0	         0	        20	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         22	         0	         0	         0	         0	          1	          4	         6	         0	         0	         0	         7	         0	         0	         0	         0	         1	         0	         0	         3	         1	         1	         0	         0	         0	         0	         0	         4	           0	         0	         2	         0	         1	         0	         0	         1	         0	         0	         2	         0	         0
01053	MN MUD   DRY WGT  MG/KG-MN	MANGANESE IN BOTTOM DEPOSITS (MG/KG AS MN DRY WGT)	                   96	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	        14	         2	         0	         0	         4	         0	        16	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         2	         0	         5	         0	         0	         3	         0	         0	         3	         0	         0	         0	         0	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         10	         0	         0	         0	         0	          1	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         3	         1	         1	         0	         0	         0	         0	         0	         4	           0	         0	         2	         0	         1	         0	         0	         1	         0	         0	         1	         0	         0
01055	MANGNESE MN       UG/L    	MANGANESE, TOTAL (UG/L AS MN)                     	                 3303	        47	         0	         0	         0	         0	             0	        27	         7	         0	         0	         3	       138	         0	         0	         0	         0	         2	         0	         0	       416	       159	         0	       182	         0	         0	         0	         0	         0	         0	         0	         7	         0	        98	         0	         0	         0	         3	         0	       152	        24	         0	         0	         0	         0	       170	        22	        93	         0	        99	         4	       306	         4	         0	         0	         0	         0	        76	        22	         0	       237	        291	        27	         0	         0	         0	         72	        109	         0	        46	         3	         0	         0	         0	         0	         0	         0	         0	         7	         0	         4	         0	         0	         0	         0	         0	         0	         0	       264	          18	         0	         2	         0	        93	         0	         0	        33	         2	         0	         0	         0	        34
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	                 2191	        54	         0	         0	         0	         0	             0	        21	         0	        16	         0	         0	       131	         2	        25	         1	         0	         0	         0	         0	       183	        81	         0	       558	         1	         2	         0	         0	         0	         8	         0	         0	         0	        80	         0	         0	         0	         0	         8	        39	         0	         0	         0	         0	         0	        88	        25	         8	         0	         0	        10	       202	         0	         0	         0	         1	         0	        94	        24	         0	       115	         51	        26	         0	         0	         0	          0	          8	         0	        27	         0	        38	         0	        17	         0	         7	         8	         0	         0	         0	         0	         4	         3	         0	         0	         0	         0	         3	       124	          16	         9	         0	         0	         0	         0	        15	        23	         0	         3	         0	         0	        32
01057	THALLIUM TL,DISS  UG/L    	THALLIUM, DISSOLVED (UG/L AS TL)                  	                    8	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         8	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
01059	THALLIUM TL,TOTAL UG/L    	THALLIUM, TOTAL (UG/L AS TL)                      	                   75	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         3	         5	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         12	         0	         0	         0	         0	         26	          4	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         5	           0	         0	         2	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0
01062	MOLY     MO,TOT   UG/L    	MOLYBDENUM, TOTAL (UG/L AS MO)                    	                  150	         4	         0	         0	         0	         0	             0	         0	         0	         0	         0	         3	        12	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         5	         0	         0	         0	         0	         4	        14	         0	         0	         0	         0	         0	         0	         0	         0	         2	         12	         0	         0	         0	         0	         71	          0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	        10	         0	         0	         1	         0	         0	         0	         0	         0
01063	MO MUD   DRY WGT  MG/KG-MO	MOLYBDENUM IN BOT. DEPOSITS (MG/KG AS MO DRY WGT) 	                   48	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	         1	         0	         0	         0	         1	         0	         1	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         1	         0	         2	         0	         0	         3	         0	         0	         2	         0	         0	         0	         0	         2	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	          9	         0	         0	         0	         0	          1	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         1	         1	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         2	         0	         0
01064	TELLURUM TE.TOT.  UG/L    	TELLURIUM, TOTAL IN WHOLE WATER SAMPLE (UG/L)     	                  131	         4	         0	         0	         0	         0	             0	         0	         0	         0	         0	         3	         5	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         2	         12	         0	         0	         0	         0	         77	          0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	        10	         0	         0	         1	         0	         0	         0	         0	         0
01065	NICKEL   NI,DISS  UG/L    	NICKEL, DISSOLVED (UG/L AS NI)                    	                   89	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         6	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         32	         0	         0	         0	         0	          0	         12	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        33	           0	         0	         0	         0	         1	         3	         0	         0	         0	         0	         0	         0	         0
01067	NICKEL   NI,TOTAL UG/L    	NICKEL, TOTAL (UG/L AS NI)                        	                 2066	         4	         0	         0	         0	         0	             0	         0	         0	         0	        26	       203	        51	         0	         7	         0	         0	         2	         0	         0	       263	         9	         0	         7	         0	        36	         3	         1	         0	         0	         0	        14	        54	        24	         0	        14	         0	        44	         0	        17	        12	         0	         7	         0	         0	        24	         0	         1	         0	        97	         4	        34	        94	         0	         0	        46	         0	         0	         0	         0	         2	        315	         3	         0	         0	         0	        167	         12	         0	        24	         0	         0	        27	         0	         2	         0	         8	         0	         7	         0	         4	         7	         0	         0	         0	        13	         0	        14	        38	           0	         3	         9	         0	       306	         0	         1	         1	         2	         0	         0	         0	         3
01068	NICKEL   SEDMG/KG DRY WGT 	NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	                  116	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	         1	         2	         0	         0	         4	         0	         5	         0	         0	         0	         0	         0	         0	         2	         0	         0	         5	         1	         0	         0	         4	         0	         5	         0	         0	         5	         0	         0	         4	         0	         0	         0	         9	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         20	         0	         0	         0	         0	          1	          4	         6	         0	         0	         0	         7	         0	         0	         0	         0	         1	         0	         0	         3	         1	         1	         0	         0	         0	         0	         0	         4	           0	         0	         2	         0	         1	         0	         0	         1	         0	         0	         2	         0	         0
01069	NICKEL   TISMG/KG WET WGT 	NICKEL, TOTAL IN FISH OR ANIMALS-WET WEIGHT MG/KG 	                   19	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         8	           0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0
01073	THALLIUM TIS-WET  MG/KG   	THALLIUM,TISSUE,WET WEIGHT,MG/KG                  	                   18	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         8	           0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0
01074	NICKEL   TOT.REC. UG/L    	NICKEL,TOTAL RECOVERABLE IN WATER AS NI      UG/L 	                   44	         1	         0	         0	         1	         0	             0	         0	         1	         0	         0	         0	         1	         0	         1	         1	         0	         1	         0	         3	         0	         1	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         1	         1	         1	         0	         3	         0	         0	         1	         0	         0	         0	         0	         0	         0	         1	         1	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	          1	         0	         0	         2	         0	          1	          0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         5	         0	         0	         1	         3	         0	         2	         0	         0
01075	SILVER   AG,DISS  UG/L    	SILVER, DISSOLVED (UG/L AS AG)                    	                   62	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         8	         0	         0	         3	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         24	         0	         0	         0	         0	          0	          0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	        17	           0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0
01077	SILVER   AG,TOT   UG/L    	SILVER, TOTAL (UG/L AS AG)                        	                  766	         4	         0	         0	         0	         0	             0	         0	         0	         0	         0	         8	        45	         0	         0	         0	         0	         2	         0	         0	       193	         3	         0	         2	         0	         0	         1	         1	         0	         0	         0	         0	         0	        24	         0	         0	         0	         4	         0	         6	        12	         0	         8	         0	         0	        19	         0	         0	         0	         0	         4	        24	         0	         0	         0	         0	         0	         0	         0	         0	         9	        191	         3	         0	         0	         0	         87	          0	         0	        23	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         5	           1	         0	         2	         0	        76	         0	         0	         1	         0	         1	         0	         0	         3
01078	SILVER   SEDMG/KG DRY WGT 	SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)   	                   60	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	         1	         2	         0	         0	         1	         0	         1	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         2	         0	         2	         0	         0	         3	         0	         0	         3	         0	         0	         0	         0	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         10	         0	         0	         0	         0	          1	          1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         3	         1	         1	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	         1	         0	         0	         1	         0	         1	         1	         0	         0
01079	SILVER   TOT.REC. UG/L    	SILVER,TOTAL RECOVERABLE IN WATER AS AG      UG/L 	                   44	         1	         0	         0	         1	         0	             0	         0	         1	         0	         0	         0	         1	         0	         1	         1	         0	         1	         0	         3	         0	         1	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         1	         1	         1	         0	         3	         0	         0	         1	         0	         0	         0	         0	         0	         0	         1	         1	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	          1	         0	         0	         2	         0	          1	          0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         5	         0	         0	         1	         3	         0	         2	         0	         0
01082	STRONTUM SR,TOT   UG/L    	STRONTIUM, TOTAL (UG/L AS SR)                     	                  153	         4	         0	         0	         0	         0	             0	         0	         0	         0	         0	         3	        13	         0	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         0	         0	         0	         0	         5	         0	         0	         0	         0	         4	         2	         0	         0	         0	         0	         0	         0	         0	         0	         2	         12	         0	         0	         0	         0	         84	          0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         4	         0	         0	         0	         0	         0	         0	         0	         1	           0	         0	         2	         0	        10	         0	         0	         1	         0	         0	         0	         0	         0
01083	SR MUD   DRY WGT  MG/KG-SR	STRONTIUM IN BOTTOM DEPOSITS(MG/KG AS SR DRY WGT) 	                   54	         2	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         6	         1	         0	         0	         0	         1	         0	         0	         0	         1	         0	         1	         0	         0	         0	         0	         0	         0	         2	         0	         0	         4	         0	         0	         0	         2	         0	         2	         0	         0	         3	         0	         0	         3	         0	         0	         0	         0	         3	         1	         0	         0	         0	         0	         0	         0	         0	         0	         2	         10	         0	         0	         0	         0	          1	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         1	         1	         1	         0	         0	         0	         0	         0	         0	           0	         0	         2	         0	         1	         0	         0	         1	         0	         0	         1	         0	         0
01084	STRNTIUM TOT.REC. UG/L    	STRONTIUM,TOTAL RECOVERABLE IN WATER AS SR   UG/L 	                   44	         1	         0	         0	         1	         0	             0	         0	         1	         0	         0	         0	         1	         0	         1	         1	         0	         1	         0	         3	         0	         1	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         1	         1	         1	         0	         3	         0	         0	         1	         0	         0	         0	         0	         0	         0	         1	         1	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	          1	         0	         0	         2	         0	          1	          0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         3	         0	         0	         0	         2	         0	         0	         0	         0	         0	         0	         0	           0	         1	         0	         0	         5	         0	         0	         1	         3	         0	         2	         0	         0
01085	VANADIUM V,DISS   UG/L    	VANADIUM, DISSOLVED (UG/L AS V)                   	                    7	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         6	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
