Form,Date,RM,SHORE,SF,DTSF,DTSF2,COND,TEMP,TDS,SALINITY,DO%,DO,Effort,CATCH,CPUE,YEAR,MON,pa,AREA_2,S_Tide,P_Tide,Experimental_Net_ID,Experimental_Net
201117001,3/25/11 0:00,37,1,15,22,0.74,149.1,4.3,0.15,0.12,114.7,14.9,1149.62,0,0,2011,3,0,,2,2,,0
201117002,3/25/11 0:00,37,1,15,22,0.74,148.8,4.3,0.15,0.12,112.7,14.62,1120,0,0,2011,3,0,,2,3,,0
201117003,3/25/11 0:00,37,1,15,22,0.74,149.9,4.3,0.16,0.12,114.2,14.81,1167.4,0,0,2011,3,0,,3,4,,0
201117004,3/25/11 0:00,37,3,15,22,0.74,150.2,4.4,0.16,0.12,120,15,1105.18,0,0,2011,3,0,,4,4,,0
201117005,3/28/11 0:00,36,1,33,3,0.5,155.9,4.4,0.16,0.12,114.1,14.78,1087.4,1,0.091962479,2011,3,1,,4,4,,0
201117006,3/28/11 0:00,37,1,33,4,0.51,157.6,4.5,0.16,0.12,114.7,14.8,1194.07,1,0.083747184,2011,3,1,,4,2,,0
201117007,3/28/11 0:00,38,1,33,5,0.53,191.3,4.6,0.2,0.15,81.3,10.32,1164.44,0,0,2011,3,0,,2,2,,0
201117008,3/29/11 0:00,36,3,37,-1,0.45,1066,4.4,1.13,0.9,108,14,1253.33,16,1.27659914,2011,3,1,,4,4,,0
201117009,3/29/11 0:00,36,1,37,-1,0.45,,4.6,2.37,3.16,107.1,13.27,1774.81,0,0,2011,3,0,,4,2,,0
201117010,3/30/11 0:00,38,1,41,-3,0.42,8947,4.7,9.49,8.4,105.2,12.8,1131.85,0,0,2011,3,0,,4,4,,0
201117011,3/30/11 0:00,38,1,41,-3,0.42,6807,4.8,7.22,6.25,95.6,11.77,1170.37,2,0.17088613,2011,3,1,,4,3,,0
201117012,3/30/11 0:00,37,1,41,-4,0.41,6643,4.8,6.74,6.4,93.8,11.58,1111.11,3,0.27000027,2011,3,1,,3,2,,0
201117013,3/30/11 0:00,37,1,41,-4,0.41,6090,4.8,8.17,7.16,93.1,11.2,1096.29,0,0,2011,3,0,,2,2,,0
201117014,3/31/11 0:00,36,3,48,-12,0.31,7542,4.9,7.95,6.93,,,1161.48,13,1.119261632,2011,3,1,,4,4,,0
201117015,3/31/11 0:00,36,3,48,-12,0.31,1194.6,4.8,12.65,11.83,80,9.7,1487.4,9,0.605082695,2011,3,1,,4,2,,0
201117016,4/1/11 0:00,39,1,52,-13,0.29,3258,5.3,2.96,2.28,94.5,11.82,1179.25,8,0.678397286,2011,4,1,,4,4,,0
201117017,4/1/11 0:00,39,1,52,-13,0.29,4190,5.3,4.38,3.68,94,11.63,1330.37,6,0.451002353,2011,4,1,,4,4,,0
201117018,4/1/11 0:00,39,3,52,-13,0.29,9712,4.9,7.73,5.4,92.6,11.45,1268.14,3,0.236566941,2011,4,1,,1,2,,0
201117019,4/4/11 0:00,38,3,56,-18,0.23,5395,5.7,5.56,4.74,96.1,11.64,1173.33,12,1.022730178,2011,4,1,,4,4,,0
201117020,4/4/11 0:00,38,3,56,-18,0.23,5109,5.7,5.25,4.47,91.8,11.23,1700.74,8,0.47038348,2011,4,1,,4,4,,0
201117021,4/4/11 0:00,37,1,56,-19,0.22,5039,5.8,5.18,4.4,94.1,11.3,1075.55,4,0.371902747,2011,4,1,,4,2,,0
201117022,4/6/11 0:00,37,3,50,-13,0.29,1474,5.7,1.51,1.21,91.1,11.29,1140.74,10,0.876623946,2011,4,1,,2,3,,0
201117023,4/6/11 0:00,36,3,50,-14,0.28,1291,5.6,1.33,1.05,92.4,11.51,918.51,0,0,2011,4,0,,2,4,,0
201117024,4/6/11 0:00,36,3,50,-14,0.28,2054,5.8,2.1,1.7,95.6,11.79,1105.18,4,0.361931993,2011,4,1,,4,4,,0
201117025,4/8/11 0:00,35,3,44,-9,0.35,1349,6.1,1.37,1.08,92,11.36,1188.14,0,0,2011,4,0,,2,3,,0
201117026,4/8/11 0:00,35,3,44,-9,0.35,650,6.1,0.66,0.5,91.3,11.35,1167.4,0,0,2011,4,0,,2,3,,0
201117027,4/8/11 0:00,35,3,44,-9,0.35,917,6.1,0.93,0.72,91.6,11.33,1146.66,1,0.087209809,2011,4,1,,3,4,,0
201117028,4/8/11 0:00,35,3,44,-9,0.35,937,6.1,0.95,0.74,90.1,11.12,1161.48,0,0,2011,4,0,,3,4,,0
201117029,4/11/11 0:00,35,3,41,-6,0.38,1222,6.8,1.21,0.96,93.6,11.3,1208.88,3,0.248163589,2011,4,1,,2,2,,0
201117030,4/11/11 0:00,36,3,41,-5,0.4,1069,6.8,1.07,0.84,94.3,11.42,1244.44,1,0.08035743,2011,4,1,,2,2,,0
201117031,4/13/11 0:00,36,3,42,-6,0.38,5130,7,5.32,4.54,86.5,10.17,1185.18,4,0.337501477,2011,4,1,,1,2,,0
201117032,4/13/11 0:00,36,3,42,-6,0.38,4791,7.1,4.73,4.01,90.7,10.67,1327.4,1,0.075335242,2011,4,1,,1,2,,0
201117033,4/13/11 0:00,35,1,42,-7,0.37,413.2,7.4,0.4,0.3,94.3,11.28,1102.22,1,0.090725989,2011,4,1,,2,3,,0
201117034,4/14/11 0:00,37,3,39,-2,0.44,761.4,7.2,2.81,2.12,,,1241.48,3,0.241647066,2011,4,1,,2,4,,0
201117035,4/14/11 0:00,37,3,39,-2,0.44,761.9,7.3,1.09,1.53,95.7,11.33,1490.37,5,0.335487161,2011,4,1,,2,4,,0
201117036,4/18/11 0:00,39,3,34,5,0.53,172.4,8.9,0.11,0.12,93.3,10.83,1117.03,4,0.358092442,2011,4,1,,4,4,,0
201117037,4/18/11 0:00,39,3,34,5,0.53,177.7,8.7,1.67,0.12,88.7,10.49,1226.66,0,0,2011,4,0,,4,2,,0
201117038,4/18/11 0:00,39,3,34,5,0.53,176.6,9.2,0.16,0.12,92.4,10.82,1259.25,8,0.635298789,2011,4,1,,2,2,,0
201117039,4/19/11 0:00,39,3,30,9,0.58,170.1,9.2,0.15,0.12,92,10.55,1176.29,0,0,2011,4,0,,4,4,,0
201117040,4/19/11 0:00,40,3,30,10,0.59,170,9.2,0.15,0.12,92.2,10.59,1395.55,0,0,2011,4,0,,4,2,,0
201117041,4/20/11 0:00,38,3,26,12,0.62,198,9.5,0.18,0.14,91.5,10.44,1122.96,0,0,2011,4,0,,2,2,,0
201117042,4/20/11 0:00,37,3,26,11,0.6,173,9.5,0.15,0.12,88.5,10.1,1226.66,0,0,2011,4,0,,2,4,,0
201117043,4/20/11 0:00,38,1,26,12,0.62,167.4,9.5,0.15,0.11,91.9,10.49,1075.55,1,0.092975687,2011,4,1,,4,4,,0
201117044,4/21/11 0:00,37,1,19,18,0.69,165.8,9.9,0.15,0.11,72.2,8.14,1197.03,2,0.16708019,2011,4,1,,2,3,,0
201117045,4/21/11 0:00,37,1,19,18,0.69,165.6,9.7,0.15,0.11,90.1,10.24,1250.37,2,0.159952654,2011,4,1,,2,4,,0
201117046,4/25/11 0:00,36,3,15,21,0.73,144.7,10.6,0.13,0.1,90,10.02,1158.51,1,0.08631777,2011,4,1,,2,2,,0
201117047,4/25/11 0:00,35,3,15,20,0.72,144.8,10.6,0.13,0.1,90,10,1164.44,3,0.257634571,2011,4,1,,2,2,,0
201117048,4/25/11 0:00,36,3,15,21,0.73,129,10.4,0.11,0.09,90.1,10.09,1134.81,0,0,2011,4,0,,2,3,,0
201117049,4/26/11 0:00,35,3,22,13,0.63,136.9,10.7,0.12,0.09,89.9,9.97,1143.7,3,0.262306549,2011,4,1,,1,2,,0
201117050,4/26/11 0:00,36,3,22,14,0.64,131.7,10.7,0.11,0.09,89.5,9.96,1371.85,2,0.145788534,2011,4,1,,2,2,,0
201117051,4/26/11 0:00,36,1,22,14,0.64,128.7,10.7,0.11,0.08,91.8,10.16,1268.14,8,0.630845175,2011,4,1,,2,2,,0
201117052,4/27/11 0:00,36,1,29,7,0.55,121.4,10.6,0.1,0.08,91.9,10.19,1164.44,6,0.515269142,2011,4,1,,4,2,,0
201117053,4/27/11 0:00,36,1,29,7,0.55,121.4,10.6,0.1,0.08,91.9,10.19,1525.92,3,0.196602705,2011,4,1,,1,2,,0
201217001,3/8/12 0:00,37,1,62,-25,0.14,5231,4.8,5538,4.71,101.4,12.62,1105.18,0,0,2012,3,0,,4,4,,0
201217002,3/8/12 0:00,38,1,62,-24,0.15,5195,4.8,5583.5,4.67,108.3,13.18,1247.4,0,0,2012,3,0,,4,1,,0
201217003,3/8/12 0:00,37,1,62,-25,0.14,6079,5.3,6350,5.47,110,13.28,1140.74,0,0,2012,3,0,,1,2,,0
201217004,3/9/12 0:00,37,3,62,-25,0.14,4752,5,4992,4.22,99.3,12.31,1105.18,2,0.180965996,2012,3,1,,4,4,,0
201217005,3/9/12 0:00,37,3,62,-25,0.14,5336,5.5,5466.5,4.45,102,12.33,1066.66,0,0,2012,3,0,,4,4,,0
201217006,3/9/12 0:00,37,3,62,-25,0.14,5634,5.5,5830.5,4.98,100.1,12.14,1099.25,9,0.81874005,2012,3,1,,4,2,,0
201217007,3/12/12 0:00,36,1,62,-26,0.13,3419,5.1,3581.5,2.96,95.9,11.96,1173.33,0,0,2012,3,0,,2,2,,0
201217008,3/12/12 0:00,36,3,62,-26,0.13,3274,5.2,3425.5,2.82,97.5,12.15,1117.03,1,0.08952311,2012,3,1,,2,3,,0
201217009,3/12/12 0:00,36,3,62,-26,0.13,3858,5.3,4023.5,3.35,89.2,11.16,1143.7,1,0.087435516,2012,3,1,,3,4,,0
201217010,3/13/12 0:00,35,1,61,-26,0.13,4342,5.7,4465.5,3.75,99.8,12.2,1096.29,3,0.27365022,2012,3,1,,2,3,,0
201217011,3/13/12 0:00,35,1,61,-26,0.13,3229,5.6,3334.5,2.75,95.5,11.8,1197.03,3,0.250620285,2012,3,1,,2,4,,0
201217012,3/13/12 0:00,35,1,61,-26,0.13,3711,5.6,3828.5,3.18,101.6,12.48,731.85,2,0.273280044,2012,3,1,,3,4,,0
201217013,3/15/12 0:00,38,3,59,-21,0.19,2892,6.4,2912,2.39,86.6,10.55,1057.77,5,0.472692551,2012,3,1,,2,2,,0
201217014,3/15/12 0:00,37,3,59,-22,0.18,3127,6.5,3146,2.59,97.7,11.79,1185.18,10,0.843753691,2012,3,1,,2,2,,0
201217015,3/15/12 0:00,37,1,59,-22,0.18,2201,6.3,2229.5,1.8,85.6,10.41,1093.33,4,0.365854774,2012,3,1,,2,2,,0
201217016,3/16/12 0:00,39,1,57,-18,0.23,2284,6.5,2288,1.85,93.9,11.4,1111.11,0,0,2012,3,0,,2,2,,0
201217017,3/16/12 0:00,38,1,57,-19,0.22,2682,6.5,2697.5,2.2,90.1,10.93,1155.55,4,0.34615551,2012,3,1,,2,2,,0
201217018,3/16/12 0:00,37,1,57,-20,0.21,2615,6.5,2626,2.14,95,11.54,1191.11,2,0.167910604,2012,3,1,,2,2,,0
201217019,3/19/12 0:00,36,1,48,-12,0.31,2879,7.1,2847,2.33,89,10.65,1122.96,4,0.356201468,2012,3,1,,4,1,,0
201217020,3/19/12 0:00,36,3,48,-12,0.31,2168,7,2197,1.73,82,9.78,1164.44,10,0.858781904,2012,3,1,,4,1,,0
201217021,3/19/12 0:00,36,1,48,-12,0.31,3396,7.2,3354,2.77,80.2,9.59,1063.7,5,0.470057347,2012,3,1,,1,2,,0
201217022,3/20/12 0:00,36,3,46,-10,0.33,904,7.2,890.5,6.9,59.5,7.24,1176.29,12,1.020156594,2012,3,1,,4,3,,0
201217023,3/20/12 0:00,36,3,46,-10,0.33,1273,7.3,1254,0.98,63,7.56,1419.25,12,0.845516998,2012,3,1,,4,1,,0
201217024,3/21/12 0:00,39,1,44,-5,0.4,250.3,6.9,248.6,0.19,56.1,6.9,1111.11,2,0.18000018,2012,3,1,,4,4,,0
201217025,3/21/12 0:00,39,3,44,-5,0.4,245.4,7.1,242.45,0.18,,,1170.37,4,0.34177226,2012,3,1,,4,1,,0
201217026,3/21/12 0:00,38,3,44,-6,0.38,694,7.7,669.5,0.51,,,1182.22,9,0.761279626,2012,3,1,,1,2,,0
201217027,3/22/12 0:00,37,1,41,-4,0.41,202.6,7.5,198.25,0.15,,,1069.62,4,0.373964586,2012,3,1,,3,4,,0
201217028,3/22/12 0:00,37,1,41,-4,0.41,201.6,7.5,196.95,0.15,,,1155.55,3,0.259616633,2012,3,1,,4,4,,0
201217029,3/22/12 0:00,37,3,41,-4,0.41,472.6,7.7,458.9,0.35,,,1131.85,9,0.795158369,2012,3,1,,4,4,,0
201217030,3/23/12 0:00,37,3,40,-3,0.42,184.2,7.8,178.75,0.13,,,1167.4,8,0.685283536,2012,3,1,,3,4,,0
201217031,3/23/12 0:00,37,3,40,-3,0.42,186.5,7.8,180.7,0.13,110.5,13.11,1232.59,8,0.649039827,2012,3,1,,4,4,,0
201217032,3/23/12 0:00,37,3,40,-3,0.42,267.2,8,257.4,0.19,108.9,12.9,1140.74,8,0.701299157,2012,3,1,,4,4,,0
201217033,3/27/12 0:00,39,3,40,-1,0.45,634,8.6,598,0.45,101.8,11.85,1185.18,0,0,2012,3,0,,2,4,,0
201217034,3/27/12 0:00,39,1,40,-1,0.45,237.1,8.4,225.55,0.17,104.2,12.19,1182.22,3,0.253759875,2012,3,1,,4,4,,0
201217035,3/27/12 0:00,38,1,40,-2,0.44,266.8,8.5,247.65,0.18,105.6,12.33,1182.22,7,0.592106376,2012,3,1,,4,4,,0
201217036,3/28/12 0:00,37,1,46,-9,0.35,1375,8.7,1300,1.02,99.8,11.55,1057.77,0,0,2012,3,0,,2,2,,0
201217037,3/28/12 0:00,37,1,46,-9,0.35,,8.8,1566.5,1.24,98.6,11.26,1054.81,1,0.094803804,2012,3,1,,2,3,,0
201217038,3/28/12 0:00,37,3,46,-9,0.35,4635,9,4283.5,3.6,97.3,10.95,1054.81,6,0.568822821,2012,3,1,,2,4,,0
201217039,3/29/12 0:00,41,1,52,-11,0.32,105,9,955,0.75,102.2,11.77,1143.7,0,0,2012,3,0,,2,2,,0
201217041,3/29/12 0:00,39,3,52,-13,0.29,1408,8.9,1326,1.4,105.3,12.09,1214.81,5,0.411586997,2012,3,1,,2,4,,0
201217042,3/30/12 0:00,40,3,55,-15,0.27,4068,9.2,3796,3.18,100.9,11.35,1090.37,1,0.091711988,2012,3,1,,2,2,,0
201217043,3/30/12 0:00,40,3,55,-15,0.27,2815,9.7,2548,2.07,104.6,11.69,1122.96,0,0,2012,3,0,,2,2,,0
201217044,4/2/12 0:00,39,1,62,-23,0.17,5269,9.3,4842.5,4.51,97.7,10.57,1324.44,3,0.226510827,2012,4,1,,2,2,,0
201217045,4/2/12 0:00,40,1,62,-22,0.18,5245,9.3,4797.6,4.18,98,10.98,1291.85,5,0.387041839,2012,4,1,,2,2,,0
201217046,4/3/12 0:00,38,3,62,-24,0.15,6514,9.5,6012.5,5.16,98.8,10.91,1117.03,8,0.716184883,2012,4,1,,4,2,,0
201217047,4/3/12 0:00,38,1,62,-24,0.15,11256,9.6,10770,14.88,95.8,10.27,1472.59,0,0,2012,4,0,,1,2,,0
201217048,4/4/12 0:00,39,3,62,-23,0.17,10515,9.8,9113,8.25,95.9,10.23,1235.55,13,1.052163004,2012,4,1,,4,2,,0
201217049,4/4/12 0:00,38,3,62,-24,0.15,7771,10,7091.5,6.21,100.8,10.92,1514.07,1,0.066047144,2012,4,1,,1,2,,0
201217050,4/5/12 0:00,38,3,62,-24,0.15,9227,10.2,8430.5,7.47,96.1,10.31,1117.03,7,0.626661773,2012,4,1,,4,4,,0
201217051,4/5/12 0:00,37,1,62,-25,0.14,10633,9.9,9656.5,8.62,95.5,10.18,1413.33,15,1.061323258,2012,4,1,,4,1,,0
201217052,4/9/12 0:00,38,1,62,-24,0.15,6266,11.3,5525.5,4.75,97.7,10.4,1235.55,1,0.080935616,2012,4,1,,4,4,,0
201217053,4/9/12 0:00,37,1,62,-25,0.14,6429,11.3,5668,4.88,98.6,10.48,1336.29,4,0.299336222,2012,4,1,,4,4,,0
201217055,4/10/12 0:00,40,3,62,-22,0.18,6630,11.4,5830.5,5.03,97.2,10.31,1102.22,7,0.635081926,2012,4,1,,2,2,,0
201217056,4/10/12 0:00,39,3,62,-23,0.17,6307,11.4,5544.5,4.78,96.3,10.22,1294.81,5,0.386157042,2012,4,1,,2,4,,0
201217061,4/11/12 0:00,39,3,62,-23,0.17,6309,11.5,5687.5,4.92,93.7,9.88,1093.33,2,0.182927387,2012,4,1,,2,4,,0
201317002,3/21/13 0:00,37,3,54,-17,0.24,,,,,,,1322.66,1,0.07560522,2013,3,1,,2,2,,0
201317003,3/21/13 0:00,37,3,54,-17,0.24,,,,,,,1127.11,1,0.088722485,2013,3,1,,2,2,,0
201317006,3/22/13 0:00,37,3,57,-20,0.21,7632,5,7748,6.69,107.3,13.1,1205.33,0,0,2013,3,0,,2,2,,0
201317007,3/22/13 0:00,37,1,57,-20,0.21,17623,4,18057,10.44,102.2,11.79,1173.33,0,0,2013,3,0,,2,2,,0
201317009,3/22/13 0:00,38,1,57,-19,0.22,7083,4,7644,6.67,111.9,14.03,1160.88,0,0,2013,3,0,,2,2,,0
201317011,3/26/13 0:00,35,3,62,-27,0.12,13798,4.3,14898.5,13.61,88.4,10.47,1095.11,1,0.091315028,2013,3,1,,4,2,,0
201317012,3/26/13 0:00,35,1,62,-27,0.12,15181,4.2,16295.5,15.01,104,12.25,1262.22,7,0.554578441,2013,3,1,,1,2,,0
201317014,3/26/13 0:00,35,3,62,-27,0.12,11488,4.3,12116,10.77,107.6,13.03,1182.22,0,0,2013,3,0,,2,2,,0
201317016,3/27/13 0:00,39,1,62,-23,0.17,6308,4.2,6805.5,5.86,107.1,13.4,1200,1,0.083333333,2013,3,1,,4,1,,0
201317017,3/27/13 0:00,39,1,62,-23,0.17,7917,4.3,8638.5,7.69,106,13.12,1312,0,0,2013,3,0,,4,2,,0
201317019,3/27/13 0:00,39,1,62,-23,0.17,7807,4.7,8281,7.22,108,13.2,1217.77,3,0.246351938,2013,3,1,,4,2,,0
201317021,3/28/13 0:00,39,3,62,-23,0.17,,,,,,,1185.77,2,0.168666773,2013,3,1,,4,4,,0
201317024,3/28/13 0:00,38,1,62,-24,0.15,,,,,,,1152,0,0,2013,3,0,,4,2,,0
201317026,4/1/13 0:00,36,1,62,-26,0.13,5058,5.7,5193.5,4.4,,,1162.66,1,0.086009667,2013,4,1,,2,4,,0
201317027,4/1/13 0:00,36,1,62,-26,0.13,4615,5.8,4738.5,3.99,106,12.93,1192.88,1,0.083830729,2013,4,1,,3,4,,0
201317029,4/1/13 0:00,36,1,62,-26,0.13,4124,5.8,4270.5,3.63,102.8,12.56,1144.88,5,0.436726993,2013,4,1,,4,4,,0
201317031,4/2/13 0:00,36,1,62,-26,0.13,,,,,,,1116.44,1,0.08957042,2013,4,1,,2,2,,0
201317032,4/2/13 0:00,38,1,62,-24,0.15,,,,,,,1221.33,0,0,2013,4,0,,4,4,,0
201317035,4/3/13 0:00,40,1,59,-19,0.22,1513,5.3,1579.5,1.25,104.8,13.19,1310.22,2,0.15264612,2013,4,1,,2,2,,0
201317038,4/4/13 0:00,36,3,57,-21,0.19,3467,5.5,3588,2.97,115,14.29,1137.77,2,0.175782452,2013,4,1,,2,2,,0
201317039,4/4/13 0:00,35,3,57,-22,0.18,3507,5.5,3620,3,113.8,14.08,1143.11,0,0,2013,4,0,,2,2,,0
201317041,4/4/13 0:00,36,3,57,-21,0.19,2534,5.4,2931,2.4,113.3,14.2,1152,1,0.086805556,2013,4,1,,2,4,,0
201317043,4/8/13 0:00,35,3,55,-20,0.21,,,,,,,1109.33,1,0.090144502,2013,4,1,,4,4,,0
201317044,4/8/13 0:00,35,3,55,-20,0.21,,,,,,,1153.77,2,0.173344774,2013,4,1,,4,4,,0
201317046,4/8/13 0:00,38,3,55,-17,0.24,,,,,,,1111.11,2,0.18000018,2013,4,1,,2,2,,0
201317048,4/9/13 0:00,40,3,54,-14,0.28,1441,7.7,1397.5,1.1,110.5,12.84,1155.55,5,0.432694388,2013,4,1,,4,4,,0
201317049,4/9/13 0:00,38,1,54,-16,0.26,1089,7.9,1053,0.82,112.6,13.3,1185.77,0,0,2013,4,0,,4,2,,0
201317052,4/10/13 0:00,39,3,52,-13,0.29,1004,8.2,968.5,0.76,107.7,12.6,1335.11,2,0.149800391,2013,4,1,,4,3,,0
201317053,4/10/13 0:00,40,1,52,-12,0.31,678,7.7,695,0.54,107.3,12.69,1329.77,2,0.150401949,2013,4,1,,4,1,,0
201317055,4/10/13 0:00,39,3,52,-13,0.29,1810,8.8,1696,1.35,97.4,11.26,1159.11,0,0,2013,4,0,,4,2,,0
201317057,4/11/13 0:00,40,3,52,-12,0.31,541,7.9,526.5,0.4,95,11.27,1223.11,0,0,2013,4,0,,4,4,,0
201317058,4/11/13 0:00,39,3,52,-13,0.29,387.8,7.5,378.95,0.28,96.4,11.57,1290.66,1,0.077479739,2013,4,1,,4,4,,0
201317060,4/11/13 0:00,37,3,52,-15,0.27,1914,9.1,1787.5,1.43,85.7,9.81,1143.11,2,0.17496129,2013,4,1,,1,2,,0
201317061,4/15/13 0:00,40,3,35,5,0.53,203.9,7.4,200.2,0.15,103.7,12.46,1112.88,0,0,2013,4,0,,2,3,,0
201317063,4/15/13 0:00,38,1,35,3,0.5,211.2,7.5,206,0.15,96,11.53,1505.77,1,0.066411205,2013,4,1,,2,4,,0
201317064,4/15/13 0:00,38,1,35,3,0.5,206.3,7.4,201.5,0.15,95.6,11.55,1112.88,0,0,2013,4,0,,4,4,,0
201317067,4/16/13 0:00,36,1,35,1,0.47,211,8,202.8,0.15,96.8,11.6,1152,1,0.086805556,2013,4,1,,2,4,,0
201317068,4/16/13 0:00,36,3,35,1,0.47,211.3,8.3,202.15,0.15,91.3,10.68,1116.44,0,0,2013,4,0,,2,4,,0
201317070,4/16/13 0:00,36,1,35,1,0.47,214.1,8.7,202.15,0.15,89,10.31,1168,0,0,2013,4,0,,2,4,,0
201317071,4/17/13 0:00,37,1,36,1,0.47,226.8,8.8,213.2,0.16,,,1221.33,0,0,2013,4,0,,2,2,,0
201317073,4/17/13 0:00,37,1,36,1,0.47,214.5,8.9,200.85,0.15,101.1,11.68,87.11,0,0,2013,4,0,,2,2,,0
201317075,4/17/13 0:00,37,3,36,1,0.47,211.1,8.5,200.2,0.15,97.2,11.36,1056,6,0.568181818,2013,4,1,,2,3,,0
201317077,4/18/13 0:00,37,3,38,-1,0.45,2315,8.9,2184,1.78,113.9,13.02,1111.11,1,0.09000009,2013,4,1,,2,2,,0
201317078,4/18/13 0:00,36,3,38,-2,0.44,1354,9,1267.5,1,114.5,13.16,1219.55,2,0.163994916,2013,4,1,,2,2,,0
201317080,4/18/13 0:00,38,1,38,0,0.46,215.7,9.3,200.2,0.15,106.5,12.24,1086.22,1,0.092062381,2013,4,1,,2,2,,0
201317081,4/22/13 0:00,36,3,44,-8,0.36,3233,10.2,4679.4,3.92,108.4,12.01,1256.88,0,0,2013,4,0,,2,2,,0
201317083,4/22/13 0:00,40,1,44,-4,0.41,2165,10.3,1917.5,1.53,115,12.77,1251.55,0,0,2013,4,0,,2,2,,0
201317085,4/23/13 0:00,36,3,44,-8,0.36,11145,9.8,10224.5,9.2,107,11.46,1111.11,3,0.27000027,2013,4,1,,2,2,,0
201317086,4/23/13 0:00,36,3,44,-8,0.36,9383,9.9,9580,7.61,,,1217.77,1,0.082117313,2013,4,1,,2,2,,0
201317088,4/23/13 0:00,35,3,44,-9,0.35,6378,9.8,5837,5,,,1280,2,0.15625,2013,4,1,,2,2,,0
201317090,4/24/13 0:00,35,3,44,-9,0.35,10710,10,9730.5,8.68,108.2,11.56,1239.11,2,0.161406171,2013,4,1,,4,1,,0
201317091,4/24/13 0:00,35,1,44,-9,0.35,6008,10.2,5434,4.58,113.5,12.38,1331.55,5,0.375502234,2013,4,1,,4,3,,0
201317093,4/24/13 0:00,35,3,44,-9,0.35,7170,10.2,6435.5,5.59,107.8,11.72,1164.44,1,0.08587819,2013,4,1,,1,2,,0
201317095,4/25/13 0:00,39,1,44,-5,0.4,554,10.5,500.5,0.38,113.6,12.64,1329.77,11,0.827210721,2013,4,1,,4,4,,0
201317096,4/25/13 0:00,38,1,44,-6,0.38,1222,10.8,1085.5,0.85,110.1,12.15,1285.33,1,0.077801032,2013,4,1,,4,4,,0
201317099,4/26/13 0:00,40,3,44,-4,0.41,658,10.7,591.5,0.45,113.2,12.55,1169.77,14,1.196816468,2013,4,1,,4,4,,0
201317100,4/26/13 0:00,38,1,44,-6,0.38,1351,11.1,1196,0.94,114.1,12.49,1471.99,2,0.135870488,2013,4,1,,4,4,,0
201417002,4/3/14 0:00,35,3,24,11,0.6,220.6,2.7,249.6,0.18,,,1153.77,0,0,2014,4,0,,2,3,,0
201417004,4/3/14 0:00,35,3,24,11,0.6,220.8,2.8,248.95,0.18,,,1153.77,2,0.173344774,2014,4,1,,3,4,,0
201417005,4/3/14 0:00,35,3,24,11,0.6,219.7,2.6,248.95,0.18,,,1162.66,1,0.086009667,2014,4,1,,3,4,,0
201417008,4/4/14 0:00,35,3,24,11,0.6,226.8,3.3,252.2,0.19,,,1192.88,0,0,2014,4,0,,2,3,,0
201417009,4/4/14 0:00,35,1,24,11,0.6,226.4,3.2,252.2,0.19,,,1162.66,3,0.258029002,2014,4,1,,2,4,,0
201417011,4/4/14 0:00,36,3,24,12,0.62,231.2,3.8,252.85,0.19,,,1164.44,5,0.429390952,2014,4,1,,3,4,,0
201417012,4/4/14 0:00,35,1,24,11,0.6,231.2,3.7,252.85,0.19,,,1135.99,4,0.352115776,2014,4,1,,4,4,,0
201417013,4/7/14 0:00,36,3,34,2,0.49,240.1,4.6,255.45,0.19,106.8,13.72,1168,1,0.085616438,2014,4,1,,2,2,,0
201417015,4/7/14 0:00,36,3,34,2,0.49,238.7,4.6,253.5,0.19,107.3,13.83,1281.77,9,0.702154053,2014,4,1,,2,4,,0
201417017,4/7/14 0:00,36,3,34,2,0.49,237.1,4.8,250.9,0.18,107.7,13.75,1214.22,3,0.247072194,2014,4,1,,4,4,,0
201417018,4/7/14 0:00,37,1,34,3,0.5,233.3,4.9,246.35,0.18,101.9,13.14,1086.22,3,0.276187144,2014,4,1,,4,4,,0
201417021,4/9/14 0:00,38,1,39,-1,0.45,1255,5.2,1430,1.13,,,1187.55,1,0.084206981,2014,4,1,,4,4,,0
201417022,4/9/14 0:00,38,1,39,-1,0.45,296.8,5.3,310.2,0.24,107.3,13.69,1240.88,4,0.322351879,2014,4,1,,4,4,,0
201417025,4/14/14 0:00,37,1,41,-4,0.41,206.5,6.9,205.4,0.15,106.2,12.91,1226.66,7,0.570655275,2014,4,1,,4,4,,0
201417027,4/14/14 0:00,37,3,41,-4,0.41,208.4,6.9,206.7,0.15,106.6,12.94,1235.55,7,0.56654931,2014,4,1,,4,4,,0
201417030,4/14/14 0:00,39,1,41,-2,0.44,369.5,7.8,359.85,0.26,115.4,13.66,983.11,3,0.305154052,2014,4,1,,1,2,,0
201417031,4/16/14 0:00,39,1,35,4,0.51,192.8,7.8,186.55,0.14,113.1,13.4,1125.33,6,0.533176935,2014,4,1,,2,2,,0
201417033,4/16/14 0:00,39,1,35,4,0.51,201.6,7.6,196.3,0.14,112.3,13.33,1249.77,11,0.88016195,2014,4,1,,3,4,,0
201417034,4/16/14 0:00,39,3,35,4,0.51,195.3,7.9,188.5,0.14,107.1,12.67,1080.88,0,0,2014,4,0,,4,4,,0
201417035,4/17/14 0:00,38,3,32,6,0.54,198.4,8.3,189.8,0.14,102.2,11.96,1175.11,1,0.085098416,2014,4,1,,2,4,,0
