Population,Survey,Date,Easting,Northing,Latitude,Longitude,Vegetation,Bird Count
A,1,5/14/1996,511165,2835847,25 38.524,-80 53.316,Muhly+Saw Grass,0
A,1,5/14/1996,512167,2835848,25 38.524,-80 52.717,Saw Grass+Muhly,0
A,1,5/25/1996,508186,2834856,25 37.988,-80 55.097,Muhly+Saw Grass,0
A,1,5/14/1996,511164,2834858,25 37.988,-80 53.317,Mixed Prairie,0
A,1,5/14/1996,512163,2834863,25 37.990,-80 52.720,Saw Grass,0
A,1,5/7/1996,513114,2833956,25 37.498,-80 52.152,Mixed Prairie,0
A,1,5/3/1996,514116,2833955,25 37.497,-80 51.553,Muhly+Saw Grass,0
A,1,5/10/1996,515102,2833960,25 37.499,-80 50.964,Saw Grass,0
A,1,5/9/1996,516114,2833959,25 37.498,-80 50.359,Muhly+Saw Grass,0
A,1,5/7/1996,513115,2832944,25 36.950,-80 52.152,Muhly+Mixed Prairie,0
A,1,5/3/1996,514116,2832949,25 36.952,-80 51.554,Muhly+Saw Grass,0
A,1,5/10/1996,515100,2832952,25 36.953,-80 50.966,Saw Grass,0
A,1,5/7/1996,513113,2831957,25 36.415,-80 52.154,Saw Grass,0
A,1,5/10/1996,514117,2831960,25 36.416,-80 51.554,Saw Grass,0
A,1,5/10/1996,515101,2831966,25 36.419,-80 50.966,Saw Grass,0
A,1,5/11/1996,513117,2830962,25 35.876,-80 52.152,Saw Grass,0
A,1,5/10/1996,514118,2830967,25 35.878,-80 51.554,Mixed Prairie,0
A,1,5/10/1996,515104,2830973,25 35.881,-80 50.965,Saw Grass,0
A,1,5/9/1996,516113,2830978,25 35.883,-80 50.362,Saw Grass,0
A,1,5/11/1996,513120,2829962,25 35.334,-80 52.151,Saw Grass,0
A,1,5/10/1996,514119,2829963,25 35.334,-80 51.554,Saw Grass+Mixed Prairie,0
A,1,5/10/1996,515105,2829967,25 35.336,-80 50.965,Saw Grass,0
A,1,5/9/1996,516116,2829972,25 35.338,-80 50.361,Mixed Prairie,0
A,1,5/11/1996,513121,2828967,25 34.795,-80 52.151,Saw Grass,0
A,1,5/10/1996,514120,2828968,25 34.795,-80 51.554,Saw Grass,0
A,1,5/10/1996,515106,2828973,25 34.797,-80 50.965,Saw Grass,0
A,1,5/9/1996,516117,2828978,25 34.799,-80 50.361,Saw Grass,0
A,1,5/11/1996,513120,2827963,25 34.251,-80 52.152,Saw Grass,0
A,1,5/11/1996,514121,2827969,25 34.254,-80 51.554,Mixed Prairie,0
A,1,5/10/1996,515104,2827972,25 34.255,-80 50.967,Saw Grass,0
A,1,5/9/1996,516118,2827977,25 34.257,-80 50.361,Saw Grass,0
A,1,5/9/1996,513123,2826972,25 33.714,-80 52.151,Saw Grass,0
A,1,5/11/1996,514119,2826973,25 33.714,-80 51.556,Mixed Prairie,0
A,1,5/10/1996,515107,2826978,25 33.716,-80 50.966,Saw Grass,0
A,1,5/9/1996,516116,2826981,25 33.717,-80 50.363,Saw Grass,0
A,1,5/9/1996,513125,2825975,25 33.174,-80 52.150,Muhly+Saw Grass,0
A,1,5/9/1996,514123,2825976,25 33.174,-80 51.554,Saw Grass,0
A,1,5/9/1996,515108,2825981,25 33.176,-80 50.966,Saw Grass,0
A,1,5/9/1996,516119,2825984,25 33.177,-80 50.362,Saw Grass,0
A,1,4/29/1996,513117,2846805,25 44.460,-80 52.143,Muhly+Saw Grass,0
A,1,4/29/1996,514111,2846806,25 44.460,-80 51.548,Muhly+Saw Grass,0
A,1,4/29/1996,515106,2846811,25 44.462,-80 50.953,Muhly+Saw Grass,0
A,1,4/29/1996,516105,2846816,25 44.464,-80 50.355,Saw Grass,0
A,1,4/29/1996,513116,2845805,25 43.918,-80 52.144,u2,0
A,1,4/29/1996,514114,2845806,25 43.918,-80 51.547,Muhly+Saw Grass,0
A,1,4/29/1996,515110,2845807,25 43.918,-80 50.951,Muhly+Saw Grass,0
A,1,4/29/1996,516105,2845810,25 43.919,-80 50.356,Muhly+Saw Grass,0
A,1,4/29/1996,513122,2844812,25 43.380,-80 52.141,u2,0
A,1,4/29/1996,514115,2844816,25 43.382,-80 51.547,Muhly,0
A,1,5/7/1996,513125,2843806,25 42.835,-80 52.140,Muhly+Saw Grass,0
A,1,5/3/1996,514118,2843809,25 42.836,-80 51.546,Muhly+Saw Grass,0
A,1,5/2/1996,515116,2843813,25 42.838,-80 50.949,Mixed Prairie,0
A,1,5/1/1996,516112,2843816,25 42.839,-80 50.353,Mixed Prairie,0
A,1,5/7/1996,513131,2842816,25 42.299,-80 52.137,Muhly+Saw Grass,2
A,1,5/3/1996,514125,2842821,25 42.301,-80 51.542,Muhly+Saw Grass,3
A,1,5/2/1996,515119,2842822,25 42.301,-80 50.948,Mixed Prairie,0
A,1,5/1/1996,516115,2842831,25 42.305,-80 50.352,Mixed Prairie,0
A,1,5/7/1996,513133,2841816,25 41.757,-80 52.136,Saw Grass,2
A,1,5/3/1996,514130,2841821,25 41.759,-80 51.540,Mixed Prairie,3
A,1,5/2/1996,515125,2841826,25 41.761,-80 50.945,Mixed Prairie,0
A,1,5/1/1996,516120,2841831,25 41.763,-80 50.350,Mixed Prairie,0
A,1,5/7/1996,513138,2840831,25 41.223,-80 52.134,Mixed Prairie,3
A,1,5/3/1996,514134,2840833,25 41.224,-80 51.538,Mixed Prairie,0
A,1,5/2/1996,515129,2840838,25 41.226,-80 50.943,Mixed Prairie,0
A,1,5/1/1996,516121,2840839,25 41.226,-80 50.350,Mixed Prairie,0
A,1,5/7/1996,513140,2839827,25 40.679,-80 52.133,Mixed Prairie,0
A,1,5/3/1996,514134,2839831,25 40.681,-80 51.539,Saw Grass,0
A,1,5/2/1996,515130,2839834,25 40.682,-80 50.943,Mixed Prairie,1
A,1,5/1/1996,516126,2839837,25 40.683,-80 50.348,Muhly,3
A,1,5/7/1996,513140,2838828,25 40.138,-80 52.134,Saw Grass,0
A,1,5/3/1996,514136,2838835,25 40.141,-80 51.538,Saw Grass,0
A,1,5/2/1996,515132,2838832,25 40.139,-80 50.943,Mixed Prairie,0
A,1,5/1/1996,516125,2838839,25 40.142,-80 50.349,Saw Grass+Muhly,0
A,1,5/7/1996,513142,2837833,25 39.599,-80 52.133,Mixed Prairie,0
A,1,5/3/1996,514139,2837838,25 39.601,-80 51.537,Muhly+Saw Grass,0
A,1,5/2/1996,515133,2837837,25 39.600,-80 50.943,Mixed Prairie,0
A,1,5/7/1996,513147,2836831,25 39.056,-80 52.131,Mixed Prairie,0
A,1,5/3/1996,514140,2836832,25 39.056,-80 51.537,Mixed Prairie,0
A,1,5/2/1996,515137,2836835,25 39.057,-80 50.941,Mixed Prairie,0
A,1,5/1/1996,516129,2836842,25 39.060,-80 50.348,Saw Grass,0
A,1,5/7/1996,513149,2835842,25 38.520,-80 52.130,Saw Grass,0
A,1,5/3/1996,514146,2835843,25 38.520,-80 51.534,Mixed Prairie,0
A,1,5/2/1996,515140,2835844,25 38.520,-80 50.940,Mixed Prairie,0
A,1,5/1/1996,516132,2835847,25 38.521,-80 50.347,Saw Grass,0
A,1,5/7/1996,513152,2834849,25 37.982,-80 52.129,Saw Grass+Muhly,0
A,1,5/3/1996,514147,2834850,25 37.982,-80 51.534,Muhly+Saw Grass,0
A,1,5/2/1996,515143,2834849,25 37.981,-80 50.939,Saw Grass,0
A,1,5/1/1996,516135,2834852,25 37.982,-80 50.346,Saw Grass,0
A,1,5/8/1997,482476,2847814,25 45.004,-81 10.474,Saw Grass+Eleochris (wet grass)+Mangrove+CA,0
A,1,5/8/1997,483470,2847813,25 45.004,-81 09.879,Eleochris (wet grass)+Saw Grass+Cypress,0
A,1,5/8/1997,484458,2845811,25 43.920,-81 09.287,Eleochris (wet grass)+Saw Grass+Cypress,0
A,1,5/8/1997,484472,2844820,25 43.383,-81 09.278,Saw Grass+Eleochris (wet grass)+Mangrove,0
A,1,5/7/1997,487441,2841816,25 41.757,-81 07.500,Eleochris (wet grass)+LI+Cypress+Mangrove,0
A,1,5/7/1997,487442,2840830,25 41.223,-81 07.499,Eleochris (wet grass),0
A,1,5/7/1997,491297,2840836,25 41.228,-81 05.194,Saw Grass+Eleochris (wet grass)+Sparina (cord grass),0
A,1,5/7/1997,489301,2839824,25 40.679,-81 06.387,Saw Grass+Eleochris (wet grass)+Mangrove,0
A,1,5/7/1997,490298,2839824,25 40.679,-81 05.791,Saw Grass+Eleochris (wet grass)+Mangrove,0
A,1,5/7/1997,491301,2839827,25 40.681,-81 05.191,Eleochris (wet grass)+Saw Grass,0
A,1,5/7/1997,493301,2839838,25 40.688,-81 03.995,Saw Grass,0
A,1,5/7/1997,494281,2839842,25 40.690,-81 03.409,Pines,0
A,1,5/7/1997,491304,2838834,25 40.143,-81 05.189,Eleochris (wet grass)+Mangrove,0
A,1,5/7/1997,492307,2838837,25 40.145,-81 04.589,Sparina (cord grass),0
A,1,5/7/1997,493304,2838840,25 40.147,-81 03.993,Saw Grass,0
A,1,5/7/1997,492307,2837836,25 39.603,-81 04.589,Eleochris (wet grass)+Saw Grass+Mangrove,0
A,1,5/7/1997,493308,2836839,25 39.063,-81 03.990,Saw Grass+Eleochris (wet grass),0
A,1,5/7/1997,493309,2835850,25 38.527,-81 03.989,Mangrove+Eleochris (wet grass),0
A,1,1/1/1997,494291,2835851,25 38.528,-81 03.402,Eleochris (wet grass)+Saw Grass+Mangrove,0
A,1,5/7/1997,495304,2835851,25 38.528,-81 02.797,Saw Grass+Eleochris (wet grass),0
A,1,5/7/1997,495310,2834865,25 37.994,-81 02.793,Eleochris (wet grass)+LI,0
A,1,5/7/1997,496289,2834865,25 37.994,-81 02.208,Eleochris (wet grass),0
A,1,5/7/1997,497266,2834865,25 37.994,-81 01.624,Eleochris (wet grass)+PA,0
A,1,5/7/1997,492316,2839798,25 40.666,-81 04.584,Eleochris (wet grass)+Saw Grass+PA,0
A,1,5/1/1997,507174,2833964,25 37.505,-80 55.702,Saw Grass,0
A,1,5/1/1997,508168,2833963,25 37.504,-80 55.108,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,509177,2833965,25 37.505,-80 54.505,Saw Grass+Eleochris (wet grass)+SA,0
A,1,4/30/1997,510173,2833968,25 37.506,-80 53.910,Saw Grass+Muhly,0
A,1,5/1/1997,507180,2832951,25 36.956,-80 55.699,Eleochris (wet grass)+Saw Grass+LI,0
A,1,5/1/1997,508172,2832951,25 36.956,-80 55.106,Eleochris (wet grass)+Saw Grass,0
A,1,4/30/1997,509183,2832952,25 36.956,-80 54.502,Saw Grass,0
A,1,4/30/1997,510177,2832955,25 36.957,-80 53.908,Saw Grass,0
A,1,5/2/1997,506190,2831957,25 36.418,-80 56.291,Saw Grass+Eleochris (wet grass)+PA,0
A,1,5/1/1997,507182,2831958,25 36.418,-80 55.698,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,508179,2831958,25 36.418,-80 55.102,Saw Grass+Muhly,0
A,1,4/30/1997,509184,2831959,25 36.418,-80 54.502,Saw Grass,0
A,1,4/30/1997,510181,2831963,25 36.420,-80 53.906,Saw Grass+SE,0
A,1,5/1/1997,507186,2830963,25 35.879,-80 55.696,Saw Grass+Muhly,0
A,1,5/1/1997,508183,2830964,25 35.879,-80 55.100,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,509191,2830964,25 35.879,-80 54.498,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,510188,2830969,25 35.881,-80 53.902,Saw Grass+Muhly,0
A,1,5/1/1997,507192,2829961,25 35.336,-80 55.693,Eleochris (wet grass)+Saw Grass+PA,0
A,1,5/1/1997,508191,2829960,25 35.335,-80 55.096,Eleochris (wet grass)+Saw Grass,0
A,1,4/30/1997,509195,2829960,25 35.335,-80 54.496,Saw Grass+Muhly,0
A,1,4/30/1997,510191,2829963,25 35.336,-80 53.901,Muhly+Saw Grass,0
A,1,5/1/1997,507195,2828968,25 34.798,-80 55.691,Eleochris (wet grass)+Saw Grass,0
A,1,5/1/1997,508196,2828970,25 34.799,-80 55.093,Saw Grass,0
A,1,5/1/1997,509202,2828971,25 34.799,-80 54.492,Saw Grass,0
A,1,4/30/1997,510195,2828972,25 34.799,-80 53.899,Saw Grass+SE,0
A,1,5/1/1997,507203,2827964,25 34.254,-80 55.687,Muhly+Saw Grass,0
A,1,5/1/1997,508202,2827963,25 34.253,-80 55.090,Saw Grass,0
A,1,5/1/1997,509206,2827967,25 34.255,-80 54.490,Saw Grass+Muhly+BT,0
A,1,4/30/1997,510202,2827970,25 34.256,-80 53.895,Muhly+BT+Saw Grass,2
A,1,5/1/1997,507205,2826969,25 33.715,-80 55.686,Eleochris (wet grass)+Saw Grass+LI,0
A,1,5/1/1997,508206,2826972,25 33.716,-80 55.088,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,509207,2826968,25 33.714,-80 54.490,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,510205,2826971,25 33.715,-80 53.894,Saw Grass,0
A,1,5/2/1997,506218,2825970,25 33.174,-80 56.276,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,507207,2825971,25 33.174,-80 55.685,Eleochris (wet grass)+Saw Grass,0
A,1,5/1/1997,508210,2825971,25 33.174,-80 55.086,Saw Grass,0
A,1,5/1/1997,509211,2825970,25 33.173,-80 54.488,Muhly+Saw Grass,0
A,1,4/30/1997,510207,2825973,25 33.174,-80 53.893,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,507209,2824968,25 32.631,-80 55.684,Muhly+Saw Grass,0
A,1,5/1/1997,508212,2824969,25 32.631,-80 55.085,Eleochris (wet grass)+Saw Grass,0
A,1,5/1/1997,509212,2824972,25 32.632,-80 54.488,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,510208,2824970,25 32.631,-80 53.893,Saw Grass+BT+BA+Muhly,0
A,1,4/30/1997,511191,2824975,25 32.633,-80 53.306,Saw Grass+Muhly,0
A,1,4/30/1997,512177,2824970,25 32.630,-80 52.717,Saw Grass,0
A,1,5/2/1997,507213,2823963,25 32.086,-80 55.682,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,508216,2823961,25 32.085,-80 55.083,Saw Grass+Eleochris (wet grass)+LI,0
A,1,5/1/1997,509218,2823964,25 32.086,-80 54.485,Saw Grass+Muhly+BT,0
A,1,4/30/1997,510212,2823965,25 32.086,-80 53.891,Saw Grass,0
A,1,4/30/1997,512190,2823970,25 32.088,-80 52.710,Saw Grass+Muhly,0
A,1,5/2/1997,507217,2822973,25 31.550,-80 55.680,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,508222,2822976,25 31.551,-80 55.080,Saw Grass+Muhly,0
A,1,5/1/1997,509220,2822976,25 31.551,-80 54.484,Saw Grass+Muhly,0
A,1,4/30/1997,511198,2822978,25 31.551,-80 53.303,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,512192,2822983,25 31.553,-80 52.709,Saw Grass+Muhly,0
A,1,5/2/1997,507219,2821986,25 31.015,-80 55.679,Saw Grass+Muhly,0
A,1,5/1/1997,509227,2821993,25 31.018,-80 54.480,Saw Grass+Eleochris (wet grass),0
A,1,5/1/1997,508231,2820984,25 30.472,-80 55.075,Saw Grass,0
A,1,5/8/1997,472584,2859811,25 51.495,-81 16.407,Eleochris (wet grass)+SE+CA+LI,0
A,1,5/8/1997,475511,2857770,25 50.392,-81 14.652,Eleochris (wet grass)+Saw Grass+SA,0
A,1,5/8/1997,478487,2855784,25 49.319,-81 12.868,Saw Grass+Cypress,0
A,1,5/8/1997,478491,2854787,25 48.779,-81 12.865,Eleochris (wet grass)+LI+Saw Grass+CA+PA,0
A,1,5/8/1997,479493,2854789,25 48.781,-81 12.265,Eleochris (wet grass)+Cypress+PA,0
A,1,5/8/1997,478494,2853791,25 48.239,-81 12.862,Eleochris (wet grass)+Saw Grass+Cypress,0
A,1,5/8/1997,482506,2848824,25 45.551,-81 10.457,Saw Grass+Eleochris (wet grass)+Mangrove+SA,0
A,1,5/7/1997,496243,2833959,25 37.503,-81 02.235,Eleochris (wet grass)+LI,0
A,1,5/7/1997,497266,2833959,25 37.503,-81 01.624,Saw Grass+Eleochris (wet grass)+RC,0
A,1,5/7/1997,496250,2832944,25 36.953,-81 02.231,Eleochris (wet grass)+Saw Grass,0
A,1,5/7/1997,497270,2832942,25 36.952,-81 01.621,Saw Grass+Eleochris (wet grass)+RC,0
A,1,5/5/1997,511152,2846812,25 44.465,-80 53.318,Saw Grass+Muhly,0
A,1,5/2/1997,512157,2846813,25 44.465,-80 52.717,Muhly+Saw Grass,0
A,1,5/2/1997,508151,2845810,25 43.923,-80 55.114,Cypress+Saw Grass,0
A,1,5/5/1997,510157,2845811,25 43.923,-80 53.914,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/5/1997,511153,2845810,25 43.922,-80 53.318,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/2/1997,512160,2845813,25 43.923,-80 52.716,Saw Grass,0
A,1,5/2/1997,506165,2844823,25 43.389,-80 56.302,Muhly+BT,0
A,1,5/2/1997,507162,2844822,25 43.388,-80 55.706,Cypress+Saw Grass,0
A,1,6/5/1997,509160,2844821,25 43.387,-80 54.511,Cypress+Saw Grass,0
A,1,5/5/1997,510161,2844824,25 43.388,-80 53.912,Eleochris (wet grass)+Saw Grass+PA,0
A,1,5/5/1997,511154,2844823,25 43.387,-80 53.318,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/2/1997,512159,2844822,25 43.386,-80 52.717,Saw Grass+Eleochris (wet grass)+PA,0
A,1,5/2/1997,507164,2843818,25 42.844,-80 55.705,Saw Grass,0
A,1,5/5/1997,510160,2843820,25 42.844,-80 53.913,Saw Grass+Eleochris (wet grass)+PA,0
A,1,5/5/1997,511158,2843819,25 42.843,-80 53.316,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/2/1997,512158,2843820,25 42.843,-80 52.718,Saw Grass+Muhly,0
A,1,5/2/1997,507166,2842829,25 42.308,-80 55.704,Eleochris (wet grass)+PA+LI,0
A,1,5/6/1997,508159,2842831,25 42.309,-80 55.110,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/6/1997,509163,2842832,25 42.309,-80 54.510,+Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,510164,2842834,25 42.310,-80 53.911,Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,511157,2842833,25 42.309,-80 53.317,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,512162,2842834,25 42.309,-80 52.716,Muhly+PA+Saw Grass+LI,2
A,1,5/6/1997,508163,2841821,25 41.762,-80 55.108,Saw Grass+Eleochris (wet grass)+Cypress,0
A,1,5/6/1997,509165,2841822,25 41.762,-80 54.509,Saw Grass,0
A,1,5/5/1997,510163,2841825,25 41.763,-80 53.912,Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,511162,2841825,25 41.763,-80 53.315,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,512163,2841824,25 41.762,-80 52.716,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,506172,2840842,25 41.232,-80 56.299,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,507169,2840843,25 41.232,-80 55.703,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,508164,2840841,25 41.231,-80 55.108,Saw Grass,0
A,1,5/6/1997,509167,2840842,25 41.231,-80 54.508,Saw Grass+Eleochris (wet grass)+LI,0
A,1,5/5/1997,510169,2840843,25 41.231,-80 53.909,Saw Grass+PA,0
A,1,5/5/1997,511164,2840845,25 41.232,-80 53.314,Saw Grass+Muhly,0
A,1,5/2/1997,512169,2840846,25 41.232,-80 52.713,Muhly+Saw Grass,0
A,1,5/6/1997,506174,2839838,25 40.688,-80 56.298,Saw Grass,0
A,1,5/6/1997,507171,2839842,25 40.690,-80 55.702,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,508168,2839841,25 40.689,-80 55.106,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,509171,2839845,25 40.691,-80 54.506,Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,510172,2839848,25 40.692,-80 53.908,Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,511165,2839852,25 40.694,-80 53.314,Saw Grass+PA+Eleochris (wet grass),0
A,1,5/2/1997,512168,2839851,25 40.693,-80 52.714,Saw Grass,0
A,1,5/2/1997,505178,2838834,25 40.144,-80 56.894,Saw Grass+Eleochris (wet grass)+PA,0
A,1,5/6/1997,506180,2838836,25 40.145,-80 56.295,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,507175,2838836,25 40.145,-80 55.700,Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,508175,2838835,25 40.144,-80 55.102,Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,509175,2838839,25 40.146,-80 54.504,Saw Grass,0
A,1,5/5/1997,510174,2838842,25 40.147,-80 53.907,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,511166,2838843,25 40.147,-80 53.314,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,512169,2838847,25 40.149,-80 52.714,Saw Grass+BT,0
A,1,5/2/1997,505183,2837835,25 39.603,-80 56.891,+Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,506184,2837837,25 39.604,-80 56.293,+Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,507177,2837838,25 39.604,-80 55.699,+Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,508179,2837840,25 39.605,-80 55.100,+Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,509180,2837839,25 39.604,-80 54.502,Saw Grass+Eleochris (wet grass)+LI,0
A,1,5/5/1997,510176,2837840,25 39.604,-80 53.906,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,511167,2837844,25 39.606,-80 53.314,Eleochris (wet grass)+PA+Saw Grass+LI,0
A,1,5/2/1997,512172,2837845,25 39.606,-80 52.713,Saw Grass+Muhly,0
A,1,5/2/1997,505189,2836833,25 39.060,-80 56.888,Saw Grass+Eleochris (wet grass)+LI,0
A,1,5/6/1997,506187,2836835,25 39.061,-80 56.291,Saw Grass+Eleochris (wet grass)+PA,0
A,1,5/6/1997,507184,2836836,25 39.061,-80 55.695,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,508183,2836838,25 39.062,-80 55.098,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,509182,2836839,25 39.062,-80 54.501,Saw Grass+Eleochris (wet grass),0
A,1,5/5/1997,510179,2836845,25 39.065,-80 53.905,Eleochris (wet grass)+PA+Saw Grass,0
A,1,5/2/1997,511168,2836846,25 39.065,-80 53.314,Muhly+Saw Grass,0
A,1,5/2/1997,512170,2836849,25 39.066,-80 52.715,Saw Grass+Muhly+BT+CA,0
A,1,5/2/1997,505193,2835847,25 38.526,-80 56.886,Saw Grass+Muhly,0
A,1,5/6/1997,506193,2835846,25 38.525,-80 56.288,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,507183,2835848,25 38.526,-80 55.696,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,508179,2835838,25 38.520,-80 55.101,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,509176,2835840,25 38.521,-80 54.505,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,510178,2835847,25 38.524,-80 53.906,Saw Grass+RC,0
A,1,5/2/1997,511165,2835847,25 38.524,-80 53.316,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,512167,2835848,25 38.524,-80 52.717,Saw Grass,0
A,1,5/6/1997,503195,2834848,25 37.985,-80 58.080,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,504191,2834850,25 37.986,-80 57.485,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,505195,2834856,25 37.989,-80 56.885,Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,506192,2834853,25 37.987,-80 56.289,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,507184,2834855,25 37.988,-80 55.696,Eleochris (wet grass)+Saw Grass,0
A,1,5/6/1997,508186,2834856,25 37.988,-80 55.097,Saw Grass+Eleochris (wet grass),0
A,1,5/6/1997,509188,2834858,25 37.989,-80 54.498,Saw Grass,0
A,1,5/6/1997,510177,2834857,25 37.988,-80 53.907,Saw Grass+Eleochris (wet grass),0
A,1,5/2/1997,511164,2834858,25 37.988,-80 53.317,Saw Grass+Eleochris (wet grass)+Muhly+LI,0
A,1,5/2/1997,512163,2834863,25 37.990,-80 52.720,Saw Grass+Muhly,0
A,1,5/8/1997,462644,2865694,25 54.669,-81 22.369,Sparina (cord grass)+Saw Grass,0
A,1,5/8/1997,463640,2864700,25 54.132,-81 21.771,Eleochris (wet grass)+CA+PA,0
A,1,5/8/1997,464663,2864694,25 54.130,-81 21.158,Eleochris (wet grass)+SE,0
A,1,5/8/1997,465656,2864698,25 54.134,-81 20.563,PA+Saw Grass+CA,0
A,1,5/8/1997,466652,2863688,25 53.588,-81 19.965,Eleochris (wet grass)+CA+PA,0
A,1,5/8/1997,467639,2863691,25 53.591,-81 19.374,Eleochris (wet grass)+Saw Grass+Mangrove,0
A,1,5/8/1997,468634,2863689,25 53.591,-81 18.778,Eleochris (wet grass)+Saw Grass+PA,0
A,1,5/8/1997,468640,2862692,25 53.051,-81 18.773,Eleochris (wet grass)+CA,0
A,1,5/8/1997,469645,2862695,25 53.054,-81 18.171,Muhly+Eleochris (wet grass),0
A,1,4/29/1997,513114,2833956,25 37.498,-80 52.152,Saw Grass+Muhly,0
A,1,4/28/1997,514116,2833955,25 37.497,-80 51.553,Muhly,0
A,1,4/28/1997,515102,2833960,25 37.499,-80 50.964,Saw Grass,0
A,1,4/25/1997,516114,2833959,25 37.498,-80 50.359,Saw Grass+Muhly,0
A,1,4/29/1997,513115,2832944,25 36.950,-80 52.152,Saw Grass+JU,0
A,1,4/28/1997,514116,2832949,25 36.952,-80 51.554,Saw Grass+Muhly,0
A,1,4/25/1997,515100,2832952,25 36.953,-80 50.966,Saw Grass+Eleochris (wet grass),0
A,1,4/25/1997,516116,2832959,25 36.956,-80 50.359,Eleochris (wet grass)+Saw Grass,0
A,1,4/29/1997,513113,2831957,25 36.415,-80 52.154,Muhly,0
A,1,4/28/1997,514117,2831960,25 36.416,-80 51.554,Saw Grass+Muhly,0
A,1,4/25/1997,515101,2831966,25 36.419,-80 50.966,Saw Grass+Muhly,0
A,1,4/25/1997,516113,2831971,25 36.421,-80 50.361,Saw Grass+Eleochris (wet grass)+Muhly,0
A,1,4/30/1997,513117,2830962,25 35.876,-80 52.152,Saw Grass+Muhly,0
A,1,4/28/1997,514118,2830967,25 35.878,-80 51.554,Saw Grass,0
A,1,4/25/1997,515104,2830973,25 35.881,-80 50.965,Saw Grass+Eleochris (wet grass),0
A,1,4/25/1997,516113,2830978,25 35.883,-80 50.362,Saw Grass,0
A,1,4/30/1997,513120,2829962,25 35.334,-80 52.151,Saw Grass,0
A,1,4/28/1997,514119,2829963,25 35.334,-80 51.554,Saw Grass+Muhly,0
A,1,4/25/1997,515105,2829967,25 35.336,-80 50.965,Saw Grass,0
A,1,4/25/1997,516116,2829972,25 35.338,-80 50.361,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,513121,2828967,25 34.795,-80 52.151,Saw Grass,0
A,1,4/28/1997,514120,2828968,25 34.795,-80 51.554,Saw Grass+Muhly,0
A,1,4/25/1997,515106,2828973,25 34.797,-80 50.965,Saw Grass+Muhly,0
A,1,4/25/1997,516117,2828978,25 34.799,-80 50.361,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1997,513120,2827963,25 34.251,-80 52.152,Saw Grass+Muhly,0
A,1,4/28/1997,514121,2827969,25 34.254,-80 51.554,Saw Grass,0
