STATION,LOGNUM,WATERBODY,Town,SITEDIR,ECOREGION,BiophysicalRegion,HUC.EIGHT,Class,SAMPLEMETHOD,WIDTH,DEPTH,FLOW,THERMO,SPC,DO,I01,I02,I03,I04,I05,I06,I07,I08,I09,I11,I12,I13,I15,I17,I18,I19,I21,I23,I25,I26,I28,I30,PA1,PB1,PC1,PNA1,PABC,PNA,PAB,PCNA,PA,PBCNA
74,227,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,45.7,,17,,,490.333,44,10,56.667,3.577,4.254,0.149,0.295,150,57.667,1.538,0,10,4.667,0.116,20,0,0.045,61,28.479,0.786,0.429,0.552,0.434,0.014,0,1,0,0.999,0.001,0.926,0.074
74,228,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,30.5,,17,,,153,20,4,24,3.413,4.399,0.353,0.4,35.875,5.125,1.375,0,4,0,0.157,11,0,0.05,6.125,6,0.357,0.143,0.338,0.539,0.123,0,1,0,0.879,0.121,0.152,0.848
74,229,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,45.7,,17,,,342,30,10.667,54,3.49,3.962,0.117,0.333,109.333,32,1.7,0,10.667,0.667,0.158,17,0,0.1,32,18.708,0.714,0.429,0.545,0.435,0.02,0,1,0,0.999,0.001,0.921,0.079
74,230,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,45.7,,17,,,299.667,46,8,50.667,3.959,4.734,0.167,0.283,34.114,64.883,1.615,0,8,8.333,0.169,21,0,0.043,69.216,20.667,0.643,0.571,0.582,0.402,0.016,0,1,0,1,0,0.971,0.029
74,231,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,47,,17,,,748,32,22.667,84,3.323,3.627,0.103,0.281,212,94.667,2.222,0,22.667,4,0.112,20,0,0.094,97.333,36,0.857,0.571,0.524,0.465,0.011,0,1,0,0.999,0.001,0.969,0.031
114,232,Chase Mills Stream,East Machias,Above Connor's Fish Hatchery,e,East Coastal Region,1050002,B,Basket or Artificial Substrate,10,39.6,21.34,22,,,577.333,25,2.667,76,2.798,4.474,0.055,0.24,140.014,252.318,2.333,0,2.667,26.667,0.132,14,0,0.04,253.651,19.429,0.5,0,0.171,0.648,0.181,0.001,1,0,0.924,0.076,0.01,0.99
113,233,Chase Mills Stream,East Machias,Below Connor's Fish Hatchery,e,East Coastal Region,1050002,C,Basket or Artificial Substrate,21,39.6,16.26,21,,,2470.667,49,4,294.667,3.321,5.28,0.353,0.51,245.268,896.065,0.52,0.002,4,252,0.119,13,9.333,0.02,1366.732,92,0.571,0.143,0.059,0.704,0.237,0,1,0,0.398,0.602,0.01,0.99
20,234,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,8,40,0,0,,,216,29,0,0,3.009,4.393,0.69,0.414,24,1,0.25,0.009,0,5,0,3,2,0,6,0,0,0,0,0,0,1,0,1,0,1,0.004,0.996
29,240,Kennebec River,Augusta,0.4 km above Edwards dam,e,Central Interior,1030003,,Cone,125,600,,0,,,91,17,0,0,1.36,6.083,0.015,0.176,0.333,0.333,1.333,0.147,0,0.667,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0.001,0.999,0.005,0.995
29,242,Kennebec River,Augusta,0.4 km above Edwards dam,e,Central Interior,1030003,,Cone,200,610,0,24.3,,,50.333,15,0,0,2.055,6.2,0.02,0.133,0,0,1,0.291,0,0.333,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.029,0.971
21,245,Kennebec River,Anson,1.6 km above Rt. 148 bridge,e,Western Foothills,1030003,,Cone,125,365.7,0,21.5,,,294.667,48,0.667,51,4.109,5.67,0.209,0.354,4,52.333,1.118,0,0,15.247,0.173,19,0.339,0.021,76.39,15.968,0.786,0.143,0.187,0.524,0.288,0,1,0,0.85,0.15,0.086,0.914
136,251,Rangley River,Rangeley,Above Atlantic Salmon Hatchery,w,Western Mountains,1040001,C,Basket or Artificial Substrate,14,27.9,71.12,20,,,1089.333,19,10.667,70.667,1.591,4.175,0.064,0.316,835.743,9.59,1.833,0.001,4,2.667,0.065,11,0,0.105,32.257,14.167,0.5,0.286,0.032,0.548,0.412,0.008,1,0,0.325,0.675,0.053,0.947
137,252,Rangley River,Rangeley,Below Atlantic Salmon Hatchery,w,Western Mountains,1040001,NA,Basket or Artificial Substrate,13.5,27.9,68.58,20,,8.600000381,3954.667,19,18.667,384,1.046,4.11,0.055,0.421,3306.589,8.078,1.25,0,18.667,10.667,0.097,10,0,0.105,130.745,10.667,0.429,0.143,0,0.003,0.891,0.105,0.986,0.014,0.002,0.998,0.009,0.991
83,253,Piscataquis River,Abbot,0.45 km above Rt. 16 Bridge,e,Western Foothills,1020004,A,Basket or Artificial Substrate,18,45.7,26.42,27,40,,305,36,8,85.333,3.35,3.685,0.142,0.306,118.892,20.429,1.818,0.001,7.667,4,0.28,20,0,0.111,23.429,23.845,0.857,0.571,0.671,0.322,0.008,0,1,0,1,0,0.994,0.006
84,254,Piscataquis River,Guilford,0.80 km below Guilford Industries; above Guilford / Sangerville POTW,e,Western Foothills,1020004,A,Basket or Artificial Substrate,23,27.9,12.19,27,50,,166.667,27,11.333,44,3.449,3.554,0.102,0.296,47.667,28.333,2.125,0,11.333,1.667,0.264,17,0,0.074,31,32.623,0.714,0.714,0.759,0.236,0.005,0,1,0,1,0,0.999,0.001
135,255,Piscataquis River,Sangerville,0.48 km below Guilford / Sangerville POTW,e,Western Foothills,1020004,B,Basket or Artificial Substrate,22,36.6,23.37,26,51,,878.333,54,13,350.333,2.843,3.618,0.039,0.37,360,60,1.15,0,13,2.667,0.399,23,0,0.056,66,58.97,0.857,0.714,0.659,0.338,0.003,0,1,0,1,0,0.997,0.003
111,256,Narraguagus River,Deblois,0.16 km above Rt. 193 bridge crossing,e,Eastern Interior,1050002,A,Basket or Artificial Substrate,16.8,50.8,32.51,22,,,602.667,36,6.667,117.333,3.807,3.878,0.17,0.333,207.966,5.367,1.75,0,5.333,13.333,0.195,21,0,0.056,34.7,40,0.857,0.429,0.48,0.492,0.028,0,1,0,1,0,0.906,0.094
235,257,Bog Stream,Deblois,Above OPI,e,Eastern Interior,1050002,,Basket or Artificial Substrate,5,90,0,21,,,2626,24,0,8,0.944,7.041,0.037,0.375,0,0,0.444,0.001,0,74,0.003,4,2318,0,18,0,0.071,0,0,0,0.105,0.895,0,1,0,1,0.003,0.997
236,258,Bog Stream,Deblois,Below OPI,e,Eastern Interior,1050002,,Basket or Artificial Substrate,5,90,0,20,,,136,18,0,0,3.399,8.125,0.304,0.556,0,0,,0.412,0,29.333,0,0,22.667,0,8,0,0,0,0,0,0,1,0,1,0,1,0.003,0.997
114,259,Chase Mills Stream,East Machias,Above Connor's Fish Hatchery,e,East Coastal Region,1050002,B,Basket or Artificial Substrate,10,39.6,47.24,23.5,,,1080,30,4,68,2.436,4.119,0.069,0.3,618.127,125.671,2,0,4,36,0.063,18,0,0.067,133.671,23.852,0.643,0.286,0.097,0.635,0.267,0.002,1,0,0.873,0.127,0.08,0.92
113,260,Chase Mills Stream,East Machias,Below Connor's Fish Hatchery,e,East Coastal Region,1050002,C,Basket or Artificial Substrate,21,39.6,18.29,23,,,2301.333,39,0,104,3.465,5.56,0.491,0.513,390.151,259.182,0.5,0.028,0,496.259,0.045,10,21.381,0,751.418,41.333,0.429,0,0,0.003,0.992,0.005,1,0,0,1,0.002,0.998
168,261,Kennebec River,Sidney,Sidney Gage:  18.8 km above Edwards dam,e,Central Interior,1030003,B,Basket or Artificial Substrate,65,609.6,11.18,1000,,,104.333,34,1,66.333,3.5,4.814,0.061,0.235,1.333,5,1.625,0.042,1,2,0.636,13,3.333,0.029,7.667,22.828,0.357,0,0.485,0.431,0.084,0,1,0,0.993,0.007,0.14,0.86
74,263,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,B,Basket or Artificial Substrate,24.5,45.7,26.42,26.5,60,,786,25,16,68,2.647,3.717,0.12,0.32,441.356,30.508,1.75,0,16,8,0.087,14,0,0.04,32.508,20,0.571,0.429,0.257,0.679,0.063,0,1,0,0.994,0.006,0.49,0.51
237,264,Crooked River,Naples,50 m above Edes Falls Rd. crossing,w,Southwest Interior,1060001,A,Basket or Artificial Substrate,15.3,30.5,75.69,21,,,1017.333,26,17.333,176,2.066,3.642,0.046,0.385,81.333,0,1.5,0,14.667,1.333,0.173,15,0,0.115,2.667,15.556,0.714,0.429,0.35,0.632,0.018,0,1,0,0.998,0.002,0.828,0.172
71,265,Presumpscot River,Westbrook,0.3 km above Saccarappa Dam,s,South Coastal Region,1060001,,Cone,30,450,9.7,25,,,27.667,21,0,2.333,3.608,6.054,0.108,0.238,0,0,0.8,0.012,0,0,0.084,4,0,0,2,2.333,0.071,0,0,0.001,0.203,0.796,0,1,0,1,0.004,0.996
238,266,Presumpscot River,Westbrook,.17 km above Cumberland Mills dam,s,South Coastal Region,1060001,,Cone,30,600,6.6,25,,,10.667,13,0,0.333,3.315,5.308,0.063,0.077,0.333,0.333,5,0,0,0,0.031,5,0,0,1,0,0.071,0,0,0,0.01,0.99,0,1,0,1,0.007,0.993
124,268,Penobscot River,Argyle Twp,Costigan - 10 km above Old Town; 40 km below Lincoln Pulp and Paper Mill,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,152.4,28.26,20.6,,,587,29,9,231,3.727,4.446,0.015,0.207,41,118,2.667,0.003,9,4,0.394,16,0,0.069,118,72,0.643,0,0.415,0.547,0.038,0,1,0,0.999,0.001,0.085,0.915
125,269,Penobscot River,Enfield,15 km below  Lincoln Pulp and Paper; 5 km upstream of Enfield dam,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,238.5,21.93,20.4,,,1381,38,15,380,3.876,4.832,0.044,0.211,59,155,2.625,0.009,15,1,0.275,21,0,0.053,172,196,0.714,0,0.267,0.692,0.041,0,1,0,0.999,0.001,0.032,0.968
126,270,Penobscot River,Howland,1 km below Enfield Dam,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,218.4,32.73,20.1,,,2017,40,14,266,3.425,3.837,0.065,0.15,239,365,3.667,0.006,14,33,0.132,22,11,0.05,372,96,0.857,0.143,0.381,0.603,0.016,0,1,0,0.997,0.003,0.216,0.784
127,271,Penobscot River,Howland,0.5 km below confluence with Piscataquis R.,e,Eastern Lowlands,1020005,,Basket or Artificial Substrate,110,192,22.4,20.6,,,449,17,12,257,2.257,4.558,0.022,0.235,14,44,2.25,0,12,6,0.572,9,0,0.059,44,253,0.286,0,0.211,0.716,0.073,0,1,0,0.998,0.002,0.01,0.99
128,272,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, west bank (out of plume)",e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,150.8,26.91,20.9,,,745,35,4,230,3.861,4.227,0.016,0.171,61,104,3.5,0,4,0,0.309,21,2,0.029,108,121,0.857,0,0.469,0.498,0.033,0,1,0,0.997,0.003,0.196,0.804
129,273,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, east bank (in plume)",e,Eastern Lowlands,1020005,C,Basket or Artificial Substrate,110,265.2,21.87,21.4,,,341,37,1,15,3.385,5.739,0.217,0.243,1,13,1.778,0.393,0,16,0.044,16,59,0.027,35,3,0.5,0,0.081,0.483,0.43,0.007,0.999,0.001,0.105,0.895,0.01,0.99
130,274,Penobscot River,Lincoln,3 km above Lincoln Pulp an Paper,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,301.5,39.04,21,,,2029,30,36,129,3.121,4.28,0.038,0.267,192,794,2,0,30,34,0.064,16,0,0.067,794,76,0.643,0,0.226,0.736,0.038,0,1,0,0.993,0.007,0.015,0.985
131,275,Penobscot River,Medway,10 km below Bowater-Great Northern Pulp and Paper,e,Eastern Lowlands,1020005,C,Basket or Artificial Substrate,110,231.7,6.52,20.1,,,573,31,0,107,3.056,7.483,0.417,0.226,0,1,1.857,0,0,214,0.187,13,207,0,15,0,0.214,0.143,0,0.001,0.957,0.042,0.999,0.001,0.001,0.999,0.014,0.986
132,276,East Branch Penobscot River,Medway,1 km above the confluence with the West Branch,e,Eastern Lowlands,1020002,B,Basket or Artificial Substrate,110,274.3,11.05,18.5,,,156,37,0,60,4.029,4.947,0.096,0.351,1,8,1.154,0.026,0,6,0.385,15,6,0,10,29,0.5,0,0.008,0.038,0.942,0.012,1,0,0.009,0.991,0.007,0.993
133,277,West Branch Penobscot River,East Millinocket,"Below Medway Dam, 1 km above confluence with East Branch",e,Eastern Lowlands,1020001,C,Basket or Artificial Substrate,110,274.3,11.05,18.5,,,730,32,0,24,2.738,7.513,0.503,0.281,1,9,1.778,0.059,0,358,0.033,16,473,0,13,9,0.429,0,0,0.001,0.77,0.229,0.204,0.796,0.001,0.999,0.006,0.994
124,278,Penobscot River,Argyle Twp,Costigan - 10 km above Old Town; 40 km below Lincoln Pulp and Paper Mill,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,152,28,20.6,,,351,28,2,167,3.377,5.154,0.014,0.143,0,67,4.25,0,2,1,0.476,17,1,0.071,70,72,0.786,0,0.21,0.603,0.187,0,1,0,0.972,0.028,0.033,0.967
125,279,Penobscot River,Enfield,15 km below  Lincoln Pulp and Paper; 5 km upstream of Enfield dam,e,Eastern Lowlands,1020005,NA,Basket or Artificial Substrate,110,239,22,20.4,,,522,27,0,55,2.724,5.37,0.201,0.296,0,10,1.25,0.51,0,18,0.105,10,16,0,93,2,0.357,0,0,0.01,0.931,0.059,0.972,0.028,0,1,0.003,0.997
126,280,Penobscot River,Howland,1 km below Enfield Dam,e,Eastern Lowlands,1020005,C,Basket or Artificial Substrate,110,218.4,32.73,20.1,,,558,25,1,17,2.509,6.327,0.246,0.16,0,45,3,0.498,1,2,0.03,12,2,0.04,180,4,0.429,0,0.006,0.206,0.747,0.042,0.989,0.011,0.001,0.999,0.003,0.997
127,281,Penobscot River,Howland,0.5 km below confluence with Piscataquis R.,e,Eastern Lowlands,1020005,C,Basket or Artificial Substrate,110,192,22.4,20.6,,,219,29,2,34,3.505,6.62,0.616,0.276,0,1,1.5,0.009,2,18,0.155,12,2,0.034,99,22,0.5,0,0.016,0.29,0.69,0.004,1,0,0.006,0.994,0.004,0.996
128,282,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, west bank (out of plume)",e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,150.8,26.91,20.9,,,839,26,2,390,2.96,5.433,0.08,0.154,0,202,4.5,0,2,0,0.465,18,0,0.077,247,78,0.857,0,0.047,0.595,0.357,0,1,0,0.87,0.13,0.01,0.99
129,283,Penobscot River,Lincoln,"4 km below Lincoln Pulp and Paper, east bank (in plume)",e,Eastern Lowlands,1020005,NA,Basket or Artificial Substrate,110,265.2,21.87,21.4,,,2138,6,0,0,0.418,8.493,0.065,0.833,0,0,,0.935,0,135,0,0,2,0,3,0,0,0,0,0,0,1,0,1,0,1,0.004,0.996
130,284,Penobscot River,Lincoln,3 km above Lincoln Pulp an Paper,e,Eastern Lowlands,1020005,B,Basket or Artificial Substrate,110,301.5,39.04,21,,,444,26,2,224,3.109,4.555,0.173,0.231,0,72,2.5,0,2,1,0.505,15,0,0.038,117,149,0.571,0,0.198,0.662,0.14,0,1,0,0.991,0.009,0.016,0.984
131,285,Penobscot River,Medway,10 km below Bowater-Great Northern Pulp and Paper,e,Eastern Lowlands,1020005,NA,Basket or Artificial Substrate,110,231.7,6.52,20.1,,,457,26,0,42,1.96,4.762,0.033,0.308,0,0,0.875,0.635,0,8,0.092,7,2,0,4,7,0.214,0,0.001,0.018,0.743,0.238,0.016,0.984,0,1,0.005,0.995
132,286,East Branch Penobscot River,Medway,1 km above the confluence with the West Branch,e,Eastern Lowlands,1020002,B,Basket or Artificial Substrate,110,274.3,11.05,18.5,,,307,22,6,249,2.002,4.43,0.039,0.273,0,1,2.333,0.003,6,2,0.811,14,0,0.045,9,215,0.714,0,0.275,0.667,0.057,0,1,0,1,0,0.068,0.932
133,287,West Branch Penobscot River,East Millinocket,"Below Medway Dam, 1 km above confluence with East Branch",e,Eastern Lowlands,1020001,NA,Basket or Artificial Substrate,110,274.3,11.05,18.5,,,1577,21,0,63,0.599,3.46,0.005,0.381,0,0,1,0.919,0,3,0.04,8,9,0,2,2,0.357,0,0.002,0.041,0.604,0.352,0.001,0.999,0,1,0.008,0.992
90,288,East Branch Sebasticook,Corinna,60 m above Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,6,70,999.99,1000,,,93,18,0,14.5,2.557,4.355,0.027,0.222,36.5,24,1.25,0.016,0,0.5,0.156,5,0,0,24,14,0.143,0,0.003,0.017,0.5,0.48,0.002,0.998,0.001,0.999,0.002,0.998
20,289,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,NA,Basket or Artificial Substrate,8,50,999.99,1000,,,9.333,11,0,0.667,3.164,4.471,0.036,0.182,2.333,1.667,2,0,0,0,0.071,4,0,0,1.667,0.667,0.071,0,0.001,0.001,0.027,0.972,0,1,0,1,0.004,0.996
76,290,Thompson Lake Outlet,Oxford,"Above Robinson MFG, 70 m below dam",w,Southwest Interior,1040002,,Basket or Artificial Substrate,13,0,0,0,,,1204,27,0,10,1.918,6.209,0.105,0.148,83.065,244.935,2.75,0.002,0,0,0.008,11,0,0,244.935,3,0.286,0,0,0.001,0.288,0.711,0,1,0.002,0.998,0.002,0.998
134,293,Millinocket Stream,T7 R9 NWP,below Millinocket Lake dam               ( below Round Pond ),e,Aroostook Hills,1010004,B,Basket or Artificial Substrate,15.5,30.5,40.54,15,,,900.667,21,33.333,229.333,2.366,3.493,0.034,0.286,455.063,41.498,2,0,33.333,1.333,0.255,12,0,0.095,45.498,40,0.429,0.143,0.302,0.667,0.032,0,1,0,0.998,0.002,0.083,0.917
84,294,Piscataquis River,Guilford,0.80 km below Guilford Industries; above Guilford / Sangerville POTW,e,Western Foothills,1020004,B,Basket or Artificial Substrate,30,33,20.33,22.5,,,1000,27,21.333,118.667,3.024,3.752,0.131,0.407,451.99,67.866,1.455,0,21.333,8,0.119,16,0,0.074,71.866,34.667,0.643,0.571,0.255,0.685,0.06,0,1,0,0.991,0.009,0.725,0.275
135,295,Piscataquis River,Sangerville,0.48 km below Guilford / Sangerville POTW,e,Western Foothills,1020004,A,Basket or Artificial Substrate,9.1,45.7,14.23,22,,,1701.333,39,16,528,3.617,3.625,0.12,0.308,500.43,104.839,1.667,0,16,30.121,0.31,20,0,0.051,113.053,122.974,0.643,0.714,0.342,0.63,0.028,0,1,0,1,0,0.926,0.074
90,296,East Branch Sebasticook,Corinna,60 m above Corinna POTW,e,Central Interior,1030003,C,Basket or Artificial Substrate,5.5,83.8,22.88,23,140,,2856,27,0,209.333,1.916,4.647,0.015,0.481,771.775,1597.558,0.769,0,0,14.667,0.073,10,0,0,1601.558,108,0.286,0,0,0.002,0.947,0.051,0.999,0.001,0.001,0.999,0.001,0.999
20,297,East Branch Sebasticook,Corinna,0.13 km below Corinna POTW,e,Central Interior,1030003,C,Basket or Artificial Substrate,6.1,45.7,26.94,22.5,,,822.667,25,0,8,2.096,4.264,0.057,0.44,497.371,133.295,0.636,0.006,0,4,0.01,7,0,0,147.962,5.333,0.214,0,0,0.003,0.411,0.586,0.001,0.999,0,1,0.002,0.998
74,298,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,A,Basket or Artificial Substrate,18,,,26,,,780,33,29.333,189.333,3.658,3.839,0.284,0.303,155.167,22.167,1.8,0,28,8,0.243,18,0,0.091,23.5,58.706,0.857,0.571,0.474,0.515,0.011,0,1,0,1,0,0.967,0.033
136,299,Rangley River,Rangeley,Above Atlantic Salmon Hatchery,w,Western Mountains,1040001,C,Basket or Artificial Substrate,14,,,26,,,2245.333,22,10.667,149.333,1.872,4.025,0.053,0.409,1494.045,7.288,1.222,0,9.333,6.82,0.067,11,0,0.091,12.744,18.963,0.5,0.143,0.004,0.216,0.773,0.007,1,0,0.017,0.983,0.019,0.981
137,300,Rangley River,Rangeley,Below Atlantic Salmon Hatchery,w,Western Mountains,1040001,B,Basket or Artificial Substrate,25,76.1,,26,,,845.333,20,40,190.667,2.37,3.878,0.049,0.5,481.009,6.991,1,0,40,4,0.226,10,0,0.1,12.325,10,0.357,0.286,0.192,0.733,0.076,0,1,0,0.988,0.012,0.132,0.868
138,301,Millinocket Stream,T8 R8 WELS,below Millinocket Lake dam,e,Aroostook Hills,1010004,,Basket or Artificial Substrate,15.2,34.4,47.55,14,,,551.667,15,44.333,147.667,2.023,3.347,0.007,0.267,317.266,11.331,2.75,0,44.333,0,0.268,11,0,0.133,12.664,66.333,0.429,0.143,0.455,0.53,0.015,0,1,0,0.998,0.002,0.27,0.73
83,302,Piscataquis River,Abbot,0.45 km above Rt. 16 Bridge,e,Western Foothills,1020004,A,Basket or Artificial Substrate,18,80,10.68,21,,,650.667,42,13.333,169.333,4.079,4.209,0.262,0.429,136.872,65.752,1.056,0.002,12,28,0.26,19,0,0.071,99.085,68.366,0.786,0.286,0.501,0.482,0.017,0,1,0,1,0,0.704,0.296
139,303,Kennebec River,Big Squaw Twp,East Outlet Moosehead - below outlet,w,Central Mountains,1030001,,Basket or Artificial Substrate,,39.6,64,20.6,,,2389.333,22,44.333,47,1.415,3.992,0.04,0.364,1631.249,13.417,1.625,0,44,3,0.02,13,2,0.136,14.751,15.611,0.714,0.143,0.007,0.325,0.633,0.034,0.999,0.001,0.014,0.986,0.031,0.969
139,304,Kennebec River,Big Squaw Twp,East Outlet Moosehead - below outlet,w,Central Mountains,1030001,,Basket or Artificial Substrate,,48.7,74.68,21,,,2894,20,37.333,107.667,2.231,4.015,0.041,0.3,733.333,0,2,0,37,1,0.037,12,0,0.15,10.667,4.385,0.643,0,0.053,0.737,0.209,0,1,0,0.832,0.168,0.014,0.986
76,305,Thompson Lake Outlet,Oxford,"Above Robinson MFG, 70 m below dam",w,Southwest Interior,1040002,,Basket or Artificial Substrate,9.4,76.2,42.7,24,,,735.333,30,0,12,2.331,5.865,0.135,0.5,25.25,284.416,0.533,0.01,0,34.241,0.016,8,0.339,0,310.182,4.333,0.143,0,0,0.003,0.672,0.326,0.104,0.896,0,1,0.001,0.999
140,306,Thompson Lake Outlet,Oxford,"0.29 km below Robinson Outfall, 10 m above Rt 121 Bride",w,Southwest Interior,1040002,,Basket or Artificial Substrate,12.2,53.3,35.7,25,,,539.333,38,0,9,3.565,5.625,0.19,0.474,40.469,144.531,0.444,0.08,0,11,0.017,8,1.667,0,158.531,0.333,0.214,0,0,0.007,0.893,0.099,0.962,0.038,0,1,0.002,0.998
141,307,Eddy Brook,New Gloucester,100 m above IF&W fish hatchery,w,Southwest Interior,1060001,A,Basket or Artificial Substrate,2.4,60.9,8.54,10.5,,11,196.333,51,27.667,31.667,4.441,4.315,0.606,0.51,0.333,0,0.692,0.002,0,27.41,0.161,18,43.12,0.059,4.346,1.5,1,0.429,0.821,0.177,0.002,0,1,0,0.999,0.001,0.998,0.002
142,308,Eddy Brook,New Gloucester,30 m below IF&W hatchery outfall,e,Southwest Interior,1060001,,Basket or Artificial Substrate,3.1,38.1,22.88,15,,9.199999809,1536,78,91.667,239.667,4.445,4.896,0.48,0.5,118.333,0,0.564,0.011,0,41.787,0.156,22,281.127,0.038,20.219,1,0.786,0.429,0.681,0.318,0.001,0,1,0,0.999,0.001,0.983,0.017
74,309,Sheepscot River,Whitefield,Above Rt. 126 Bridge at USGS gage,e,Central Interior,1050003,B,Basket or Artificial Substrate,18.3,40.6,45.75,25,,,1780,39,32,104,3.134,3.539,0.242,0.333,354.547,92.02,1.462,0,32,53.333,0.058,19,0,0.051,94.687,44.296,0.714,0.429,0.392,0.596,0.013,0,1,0,0.999,0.001,0.727,0.273
30,310,Bond Brook,Augusta,24 m above I-95 overpass,e,Central Interior,1030003,A,Basket or Artificial Substrate,10.7,25.4,28.89,19,,,186,50,0.5,38.5,4.76,4.273,0.358,0.38,23.46,2.04,1.053,0.008,0,21.321,0.207,20,0,0.02,9.655,7.875,0.714,0.286,0.701,0.267,0.032,0,1,0,1,0,0.957,0.043
13,312,Togus Stream,Chelsea,0.1 km above Hallowell Rd.,e,Central Interior,1030003,C,Basket or Artificial Substrate,7.6,25.4,46.48,23,,6,7145.333,34,4,302.667,2.652,3.71,0.159,0.471,1782.916,908.938,0.875,0,1.333,859.554,0.042,14,0,0.029,915.781,134.667,0.429,0,0.002,0.12,0.878,0.001,1,0,0.008,0.992,0.002,0.998
14,313,Togus Stream,Chelsea,20 m above Windsor Rd.,e,Central Interior,1030003,A,Basket or Artificial Substrate,7.6,30.5,30.5,23.5,,8.100000381,622.667,46,9.333,98.667,4.165,3.554,0.135,0.326,85.333,28,1.333,0,8,33.049,0.158,20,1.377,0.022,28,47.857,0.643,0.286,0.763,0.234,0.003,0,1,0,0.999,0.001,0.961,0.039
143,314,Mare Brook,Brunswick,,e,Midcoast Region,1060001,C,Basket or Artificial Substrate,1.8,30.5,35.56,19,,8,757.333,38,12,128,3.866,5.174,0.537,0.5,17.333,0,0.474,0.004,0,14.961,0.169,9,58.484,0.026,4.08,62.667,0.286,0.143,0.18,0.719,0.101,0,1,0,0.761,0.239,0.047,0.953
144,315,Mare Brook,Brunswick,Below BNAS; 50 m above New Gurnet Rd. crossing,e,Midcoast Region,1060001,NA,Basket or Artificial Substrate,2.4,25.4,59.48,21.5,,7.400000095,2780,33,0,0,2.664,5.496,0.58,0.606,205.091,484.242,0.1,0.001,0,41.678,0,2,17.445,0,512.476,0,0,0,0,0,0,1,0,1,0,1,0.001,0.999
145,316,Kenduskeag Stream,Kenduskeag,Higginsville below Lower Cross Rd. Bridge,e,Central Interior,1020005,A,Basket or Artificial Substrate,15.2,30.5,43.71,27,,,836,36,16,220,3.813,3.992,0.22,0.389,92.252,14.414,1.214,0.002,16,51.188,0.263,17,0,0.056,53.151,19.333,0.643,0.286,0.459,0.524,0.016,0,1,0,0.999,0.001,0.598,0.402
146,317,Kenduskeag Stream,Kenduskeag,Above Rt 15 bridge near Lancaster Brook Rd.,e,Central Interior,1020005,A,Basket or Artificial Substrate,18.3,30.5,39.14,27,,,712,40,16,250.667,4.016,3.428,0.112,0.3,94.005,92.662,1.833,0,14.667,13.333,0.352,22,0,0.05,113.995,69.075,0.786,0.571,0.728,0.27,0.003,0,1,0,1,0,0.993,0.007
147,318,Kenduskeag Stream,Bangor,0.7 km above I-95,e,Central Interior,1020005,B,Basket or Artificial Substrate,25.9,25.4,32.03,28,,,540,29,16,20,3.186,4.092,0.079,0.207,48.276,178.352,2.167,0,16,24.774,0.037,13,0,0.069,178.352,14.667,0.5,0.286,0.475,0.505,0.02,0,1,0,0.994,0.006,0.467,0.533
148,319,Tunk Stream,Cherryfield,Downing pond outlet; 30 m below Rt.182 crossing,e,East Coastal Region,1050002,,Basket or Artificial Substrate,6.1,25.4,20.84,24.8,,8.399999619,682.667,26,13.333,16,2.49,3.952,0.066,0.462,346.667,2.667,0.833,0.002,13.333,2.833,0.023,10,0,0.038,2.667,21.333,0.286,0,0.26,0.651,0.088,0.001,1,0,0.959,0.041,0.033,0.967
